id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Нэр,Хаяг
2087,,,Point,106.911017,47.924086,Эмийн сан,Асгат-Уул,CHD-4
2088,,,Point,106.909639,47.924681,Эмийн сан,Анис фарм,CHD-4
2089,,,Point,106.90349,47.923166,Эмийн сан,Бэрээмэг,CHD-5
2090,,,Point,106.902346,47.923233,Эмийн сан,Монос гэсэр,CHD-5
2091,,,Point,106.90597,47.923737,Эмийн сан,Түшиглэн,CHD-5
2092,,,Point,106.907233,47.926113,Эмийн сан,Байда,CHD-6
2093,,,Point,106.897357,47.961423,Эмийн сан,Хаш,CHD-15
2094,,,Point,106.877664,47.913121,Эмийн сан,Нуган трейд,BGD-4
2095,,,Point,106.881032,47.916713,Эмийн сан,Өргөө фарм,BGD-2
2096,,,Point,106.889272,47.915182,Эмийн сан,Бужлай,BGD-2
2097,,,Point,106.869016,47.912433,Эмийн сан,Закира,BGD-4
2098,,,Point,106.87713,47.913669,Эмийн сан,Төмөр зам,BGD-4
2099,,,Point,106.874993,47.912344,Эмийн сан,Итгэл фарм,BGD-4
2100,,,Point,106.858397,47.921179,Эмийн сан,Шидэт рашаан,BGD-7
2101,,,Point,106.882354,47.912761,Эмийн сан,Түшиглэн наран,BGD-4
2102,,,Point,106.88772,47.925068,Эмийн сан,Тулга медикал,BGD-15
2103,,,Point,106.885492,47.923579,Эмийн сан,Мон евро фарм,BGD-15
2104,,,Point,106.932798,47.927156,Эмийн сан,Хүрэл роуд,BZD-1
2105,,,Point,106.941029,47.924838,Эмийн сан,Энхэс,BZD-1
2106,,,Point,106.947204,47.92525,Эмийн сан,Халиун байгаль,BZD-2
2107,,,Point,106.940966,47.923715,Эмийн сан,Даян ирээдүй ххк,BZD-3
2108,,,Point,106.942179,47.921115,Эмийн сан,Борх баянбулаг,BZD-3
2109,,,Point,106.941607,47.919844,Эмийн сан,Биофарм,BZD-3
2110,,,Point,106.940511,47.921118,Эмийн сан,Буман сан,BZD-3
2111,,,Point,106.941507,47.923456,Эмийн сан,НЧД,BZD-3
