id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Үүсгэн байгуулсан он,Хичээлийн байрны дугаар,Нэр,Барилгын дугаар,Цэцэрлэгийн ангилал
4387,,,Point,106.986406,47.925647,Цэцэрлэг,2011,1,168-р цэцэрлэг,Ц168,Ахлах
4388,,,Point,106.967152,47.929036,Цэцэрлэг,2011,1,169-р цэцэрлэг,Ц169,Ахлах
4389,,,Point,106.972912,47.915292,Цэцэрлэг,2011,1,172-р цэцэрлэг,Ц172,Ахлах
4390,,,Point,106.947876,47.921709,Цэцэрлэг,2014,1,191-р цэцэрлэг,Ц191,Ахлах
4391,,,Point,106.938204,47.990472,Цэцэрлэг,2010,1,159-р цэцэрлэг,Ц159,Ахлах
4392,,,Point,106.970615,47.998238,Цэцэрлэг,2010,1,166-р цэцэрлэг,Ц166,Ахлах
4393,,,Point,106.958555,47.982663,Цэцэрлэг,2011,1,171-р цэцэрлэг,Ц171,Ахлах
4394,,,Point,106.923832,47.902306,Цэцэрлэг,2015,1,218-р цэцэрлэг,Ц218,Ахлах
4395,,,Point,106.937507,47.988792,Цэцэрлэг,2012,1,175-р цэцэрлэг,Ц175,Ахлах
4396,,,Point,107.433529,47.351728,Цэцэрлэг,1989/2004,1,44-р цэцэрлэг,Ц44,Ахлах
4397,,,Point,106.813712,47.911412,Цэцэрлэг,1962,1,"41-р ясли, сувилал",,Дунд
4398,,,Point,108.37922,47.784887,Цэцэрлэг,2016,1,241-р цэцэрлэг,Ц241,Ахлах
4399,,,Point,108.388759,47.795044,Цэцэрлэг,2014,1,194-р цэцэрлэг,Ц194,Ахлах
4400,,,Point,106.87837,47.926311,Цэцэрлэг,2014,1,197-р цэцэрлэг,Ц197,Ахлах
4401,,,Point,106.879845,47.921378,Цэцэрлэг,2015,1,198-р цэцэрлэг,Ц198,Ахлах
4402,,,Point,106.944675,47.953225,Цэцэрлэг,2014,1,199-р цэцэрлэг,Ц199,Ахлах
4403,,,Point,107.116124,47.874303,Цэцэрлэг,2014,1,200-р цэцэрлэг,Ц200,Ахлах
4404,,,Point,106.954037,47.934829,Цэцэрлэг,2015,1,201-р цэцэрлэг,Ц201,Ахлах
4405,,,Point,106.944498,47.954077,Цэцэрлэг,2015,1,202-р цэцэрлэг,Ц202,Ахлах
4406,,,Point,107.082193,47.918474,Цэцэрлэг,2015,1,203-р цэцэрлэг,Ц203,Ахлах
4407,,,Point,106.944308,47.922599,Цэцэрлэг,2015,1,204-р цэцэрлэг,Ц204,Ахлах
4408,,,Point,106.939325,47.990569,Цэцэрлэг,2015,1,205-р цэцэрлэг,Ц205,Ахлах
4409,,,Point,107.489513,47.352224,Цэцэрлэг,2015,1,207-р цэцэрлэг,Ц207,Ахлах
4410,,,Point,107.258546,47.764573,Цэцэрлэг,2015,1,208-р цэцэрлэг,Ц208,Ахлах
4411,,,Point,106.795631,47.862201,Цэцэрлэг,2014,1,209-р цэцэрлэг,Ц209,Ахлах
4412,,,Point,106.85784,47.945463,Цэцэрлэг,2016,1,214-р цэцэрлэг,Ц214,Ахлах
4413,,,Point,106.809618,47.967679,Цэцэрлэг,2016,1,215-р цэцэрлэг,Ц215,Ахлах
4414,,,Point,106.887414,47.951195,Цэцэрлэг,2016,1,220-р цэцэрлэг,Ц220,Ахлах
4415,,,Point,106.72123,47.844519,Цэцэрлэг,2016,1,219-р цэцэрлэг,Ц219,Ахлах
4416,,,Point,106.989622,47.927475,Цэцэрлэг,2017,1,251-р цэцэрлэг,Ц251,Ахлах
4417,,,Point,108.366342,47.78233,Цэцэрлэг,1978,1,193-р цэцэрлэг,Ц193,Ахлах
4418,,,Point,108.369829,47.786657,Цэцэрлэг,2015,1,235-р цэцэрлэг,Ц235,Ахлах
4419,,,Point,106.864223,47.956992,Цэцэрлэг,2015,1,224-р цэцэрлэг,Ц224,Ахлах
4420,,,Point,106.88562,47.966348,Цэцэрлэг,2017,1,221-р цэцэрлэг,Ц221,Ахлах
4421,,,Point,106.880119,47.991129,Цэцэрлэг,2016,1,222-р цэцэрлэг,Ц222,Ахлах
4422,,,Point,106.891236,47.931468,Цэцэрлэг,2017,1,245-р цэцэрлэг,Ц245,Ахлах
4423,,,Point,106.887564,47.968659,Цэцэрлэг,2016,1,246-р цэцэрлэг,Ц246,Ахлах
4424,,,Point,106.904962,47.970916,Цэцэрлэг,2017,1,247-р цэцэрлэг,Ц247,Ахлах
4425,,,Point,107.266506,47.76983,Цэцэрлэг,2003,3,123-р цэцэрлэг,Ц123/2,Ахлах
