Насны бүлэг,Бүс,Хүйс,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992
Бүгд,Дорноговь,Эрэгтэй,15651,17312,16018,17935,17891,19286,16684,17357,16652,14435,15550,14860,13226,11715,16357,13932,10907,10636,10037,9786,10003,10023,10136,9870,9550,9662,8662,9286,8783,9513,9018,9625,10710
Бүгд,Дорноговь,Эмэгтэй,14822,13933,13948,14238,15566,17888,14656,16082,14525,12692,13164,13706,10402,9637,12854,11400,9874,9512,9703,10143,10187,9960,9853,9409,8346,8230,8243,8562,7726,8293,8408,8245,9098
Бүгд,Дундговь,Нийт,22854,21145,24609,23985,24757,25681,24547,23657,22247,21241,22098,21599,23419,24441,24243,24097,22686,23554,23246,23355,23518,23745,23542,23382,22638,22983,23156,23095,22498,22967,21966,20969,22703
Бүгд,Дундговь,Эрэгтэй,12047,10305,13326,12586,12575,13328,12205,12244,11281,11152,11126,11172,11791,12297,12428,12374,11442,11734,11629,12163,12194,12529,12239,11987,11709,11815,11647,11674,11538,11809,11380,11177,11789
Бүгд,Дундговь,Эмэгтэй,10807,10840,11283,11399,12183,12353,12342,11413,10966,10089,10972,10427,11628,12144,11815,11723,11244,11820,11617,11192,11324,11216,11303,11395,10929,11168,11509,11421,10960,11158,10586,9792,10914
Бүгд,Өмнөговь,Нийт,33901,34903,35851,32983,37352,35872,32019,30292,28370,29045,30314,25470,21452,28919,27681,27335,20604,22509,21699,22144,21156,20888,20984,22502,20781,20643,19730,17719,17309,17165,16376,18021,18360
Бүгд,Өмнөговь,Эрэгтэй,18048,19002,20125,18307,19598,19208,16795,15709,15609,15484,16505,13401,11372,15258,14485,13871,10420,11239,10883,10911,10634,10567,10490,11343,10417,10338,10030,9018,8852,8821,8449,9201,9767
Бүгд,Өмнөговь,Эмэгтэй,15853,15901,15726,14676,17754,16663,15224,14583,12761,13561,13809,12069,10080,13661,13196,13464,10184,11270,10816,11233,10522,10321,10494,11159,10364,10305,9700,8701,8457,8344,7927,8820,8593
Бүгд,Сэлэнгэ,Нийт,40466,32929,31665,34198,37599,40963,48605,46540,40156,37409,35923,42793,41066,45734,47123,50049,39229,38821,38471,36136,36542,37282,35817,33739,32229,33070,30533,29516,28152,28236,30352,28949,36083
Бүгд,Сэлэнгэ,Эрэгтэй,22316,19103,16159,18049,19984,22703,26370,25066,21314,20518,20130,22690,21785,24637,25181,26743,19033,19477,19845,19066,18955,19587,18252,18021,17281,18933,17003,16142,15674,15408,16823,15670,19199
Бүгд,Сэлэнгэ,Эмэгтэй,18150,13826,15506,16149,17615,18259,22235,21474,18842,16891,15793,20103,19281,21097,21942,23306,20196,19344,18626,17070,17587,17695,17565,15718,14948,14137,13530,13374,12478,12828,13529,13279,16884
Бүгд,Төв,Нийт,36524,45963,39887,42098,45085,45990,50992,50257,49040,47254,43950,45061,46936,47927,42402,42266,43407,44728,44418,43387,42008,43313,42679,41587,38877,37192,37043,35621,36772,35816,40714,41172,41221
Бүгд,Төв,Эрэгтэй,20344,25008,22295,24092,24796,24796,25892,26492,25126,25005,23893,23877,25198,25704,22669,21291,22584,23283,22859,22225,21980,22423,22105,21543,21032,19683,19667,19115,19715,19500,21710,21593,21654
Бүгд,Төв,Эмэгтэй,16180,20955,17592,18007,20290,21194,25100,23765,23914,22249,20057,21184,21738,22223,19733,20975,20823,21445,21559,21162,20028,20890,20574,20044,17845,17509,17376,16506,17057,16316,19004,19579,19567
Бүгд,Зүүн бүс,Нийт,105816,104468,101675,104015,102663,104710,94655,92730,93690,96694,88511,88818,89877,86244,80366,76945,73985,75151,75027,72322,71708,73012,69909,69587,67991,66345,66710,71350,74282,77246,79649,77260,84664
Бүгд,Зүүн бүс,Эрэгтэй,57952,56053,53332,56950,57097,56648,51684,50558,50993,50906,47646,47677,44784,46168,41830,40113,38008,37851,37940,37752,36573,37230,36076,35834,35212,34577,34646,37293,38296,40815,41653,40085,44007
Бүгд,Зүүн бүс,Эмэгтэй,47863,48415,48344,47065,45566,48063,42971,42172,42697,45788,40865,41141,45093,40076,38536,36832,35977,37300,37087,34570,35135,35782,33833,33753,32779,31768,32064,34057,35986,36431,37996,37175,40657
Бүгд,Дорнод,Нийт,38934,34343,35051,35169,35829,36753,32189,31488,31057,31661,28678,29046,27648,28913,26209,24324,22982,22278,21644,20755,20071,19946,19445,19348,19093,19168,19683,24404,24048,27754,26627,30593,32770
Бүгд,Дорнод,Эрэгтэй,21348,18433,17001,18927,19485,20594,18916,17259,17188,16906,16005,15773,13577,15729,14011,12846,11384,10725,10743,10548,9999,9999,9897,9497,9637,9441,9784,12378,11893,14139,13421,14606,16066
Бүгд,Дорнод,Эмэгтэй,17586,15910,18050,16242,16344,16159,13273,14229,13869,14755,12673,13273,14071,13184,12198,11478,11598,11553,10901,10207,10072,9947,9548,9851,9456,9727,9899,12026,12155,13615,13206,15987,16704
Бүгд,Сүхбаатар,Нийт,32784,33281,29716,31618,30929,31066,29284,29282,29991,29605,27707,26390,29975,28638,30472,28900,23465,25432,25311,24938,25126,24909,24384,23964,23450,22774,22793,22231,23176,21880,24230,18734,20684
Бүгд,Сүхбаатар,Эрэгтэй,17947,18165,16617,17602,16953,16618,15189,14884,15840,15535,14599,14273,15230,14785,16110,15425,12366,13043,12765,13002,12812,12843,12841,12653,12621,12246,12273,12004,12285,11547,12878,10679,11910
Бүгд,Сүхбаатар,Эмэгтэй,14837,15116,13100,14016,13976,14448,14095,14398,14151,14070,13108,12117,14745,13853,14362,13475,11099,12389,12546,11936,12314,12066,11543,11311,10829,10528,10520,10227,10891,10333,11352,8055,8774
Бүгд,Хэнтий,Нийт,34097,36844,36908,37229,35904,36892,33182,31960,32642,35428,32126,33382,32254,28693,23685,23721,27538,27441,28072,26629,26511,28157,26080,26275,25448,24403,24234,24715,27058,27612,28792,27933,31210
Бүгд,Хэнтий,Эрэгтэй,18657,19455,19714,20421,20659,19436,17579,18415,17965,18465,17042,17631,15977,15654,11709,11842,14258,14083,14432,14202,13762,14388,13338,13684,12954,12890,12589,12911,14118,15129,15354,14800,16031
Бүгд,Хэнтий,Эмэгтэй,15440,17389,17194,16808,15245,17456,15603,13545,14677,16963,15084,15751,16277,13039,11976,11879,13280,13358,13640,12427,12749,13769,12742,12591,12494,11513,11645,11804,12940,12483,13438,13133,15179
Бүгд,Улаанбаатар,Нийт,666135,591729,602691,539294,558594,566496,555350,553570,511511,494103,476138,447289,393330,382807,395147,387988,398212,375269,365544,339159,328129,295908,259287,228056,221651,216183,208976,202103,193255,193690,206454,205521,214684
Бүгд,Улаанбаатар,Эрэгтэй,367588,328721,331373,297446,306179,311990,303544,295860,280210,267248,254887,235181,205502,206062,210726,205602,184392,175736,165088,158289,150270,145842,126752,112679,108881,113125,108929,103362,100805,99183,103271,102772,108287
Бүгд,Улаанбаатар,Эмэгтэй,298547,263008,271318,241848,252415,254506,251806,257710,231301,226855,221251,212108,187828,176745,184421,182386,213820,199533,200456,180870,177859,150066,132535,115377,112770,103058,100047,98741,92450,94507,103183,102749,106397
Бүгд,Хан-Уул,Нийт,107417,88924,89074,71259,58490,75010,64922,67546,61244,56998,55156,44473,36648,39270,35470,34705,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Бүгд,Хан-Уул,Эрэгтэй,107417,49099,48572,41902,34968,42699,34241,34487,33247,29874,28678,22633,18440,21672,18909,20024,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Бүгд,Хан-Уул,Эмэгтэй,107417,39825,40502,29357,23522,32311,30681,33059,27997,27124,26478,21840,18208,17598,16561,14681,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Бүгд,Багануур Багахангай,Нийт,107417,8409,10370,4062,14930,14311,10263,9607,9583,10821,11310,11344,11435,11800,10622,12119,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Бүгд,Багануур Багахангай,Эрэгтэй,107417,4388,5817,1890,6015,7927,5726,5144,5089,5752,6000,5738,5774,5931,5521,5869,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Бүгд,Багануур Багахангай,Эмэгтэй,107417,4021,4553,2172,8914,6385,4537,4463,4494,5069,5310,5606,5661,5869,5101,6250,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Бүгд,Баянзүрх,Нийт,107417,166949,153727,147351,153142,140154,148438,159740,132780,116564,105497,110428,94360,89895,97704,81354,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Бүгд,Баянзүрх,Эрэгтэй,107417,92052,82018,80883,84086,74345,80629,85175,73432,65734,57657,59123,49567,48067,52435,42874,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Бүгд,Баянзүрх,Эмэгтэй,107417,74897,71709,66468,69056,65809,67809,74565,59348,50830,47840,51305,44793,41828,45269,38480,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Бүгд,Налайх,Нийт,107417,14764,12377,11411,12304,19478,15749,13876,15368,16922,11946,10933,9962,10498,11781,12392,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Бүгд,Налайх,Эрэгтэй,107417,8046,7292,5228,5788,10862,8279,7866,8291,8878,6243,6074,5307,6166,6420,7513,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Бүгд,Налайх,Эмэгтэй,107417,6718,5085,6182,6516,8616,7470,6010,7077,8044,5703,4859,4655,4332,5361,4879,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Бүгд,Баянгол,Нийт,107417,81744,90428,77267,93429,77780,82623,83858,80797,77787,81399,81600,64773,63539,57392,57868,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Бүгд,Баянгол,Эрэгтэй,107417,43063,50760,42956,52808,41632,45581,43188,44280,40175,42345,42737,32953,31554,29708,29029,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Бүгд,Баянгол,Эмэгтэй,107417,38681,39668,34310,40621,36148,37042,40670,36517,37612,39054,38863,31820,31985,27684,28839,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Бүгд, Сүхбаатар,Нийт,107417,57054,53709,52637,49463,55947,54233,51927,44691,48864,50845,46452,48144,47982,49253,48535,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Бүгд, Сүхбаатар,Эрэгтэй,107417,33462,27948,30072,24949,30916,27974,27878,25054,26351,27360,23344,25885,26020,26202,25015,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Бүгд, Сүхбаатар,Эмэгтэй,107417,23593,25761,22566,24514,25030,26259,24049,19637,22513,23485,23108,22259,21962,23051,23520,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Бүгд,Чингэлтэй,Нийт,107417,48668,58636,60395,58517,63188,55509,52261,51864,52201,51884,51227,52773,38274,48127,45567,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Бүгд,Чингэлтэй,Эрэгтэй,107417,28277,33047,32363,29071,34986,30013,27417,27244,27887,27938,26300,27105,21132,25817,23705,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Бүгд,Чингэлтэй,Эмэгтэй,107417,20391,25589,28032,29446,28201,25496,24844,24620,24314,23946,24927,25668,17142,22310,21862,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Бүгд,Сонгинохайрхан,Нийт,107417,125217,134369,114912,118319,120629,123613,114755,115184,113946,108101,90832,75235,81549,84798,95448,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Бүгд,Сонгинохайрхан,Эрэгтэй,107417,70334,75918,62152,68495,68622,71101,64705,63573,62597,58666,49232,40471,45520,45714,51573,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Бүгд,Сонгинохайрхан,Эмэгтэй,107417,54883,58451,52761,49825,52006,52512,50050,51611,51349,49435,41600,34764,36029,39084,43875,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
15-19,Улсын дүн,Нийт,107417,23696,22128,22645,26535,26141,24775,23045,21307,24216,25351,30465,62526,42828,41812,50320,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
15-19,Улсын дүн,Эрэгтэй,107417,17451,15225,17082,18756,19706,18674,15348,13928,15961,16416,18773,34632,26261,25186,31707,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
15-19,Улсын дүн,Эмэгтэй,107417,6246,6902,5562,7780,6434,6101,7697,7379,8255,8935,11692,27894,16567,16626,18613,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
15-19,Баруун бүс,Нийт,107417,3082,2890,3885,4772,4111,3734,4398,3530,4730,4506,5043,18929,11639,10618,12093,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
15-19,Баруун бүс,Эрэгтэй,107417,2322,2005,2978,3258,3014,2876,2974,2552,2928,3096,3329,10346,6898,6044,6990,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
15-19,Баруун бүс,Эмэгтэй,107417,760,884,907,1515,1097,858,1424,978,1802,1410,1714,8583,4741,4574,5103,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
