Үзүүлэлт,"Аймаг, нийслэл",Он,value
"Арьс, мян.шир",    Төв,2017,1151.4
"Арьс, мян.шир",    Төв,2016,1108.0
"Арьс, мян.шир",    Төв,2015,1187.0
"Арьс, мян.шир",    Төв,2014,865.03
"Арьс, мян.шир",    Төв,2013,955.3
"Арьс, мян.шир",    Төв,2012,778.2
"Арьс, мян.шир",    Төв,2011,736.8
"Арьс, мян.шир",    Төв,2010,1293.5
"Арьс, мян.шир",    Дархан-Уул,2025,108.989
"Арьс, мян.шир",    Дархан-Уул,2024,61.1
"Арьс, мян.шир",    Дархан-Уул,2023,81.6
"Арьс, мян.шир",    Дархан-Уул,2022,113.0
"Арьс, мян.шир",    Дархан-Уул,2021,91.4
"Арьс, мян.шир",    Дархан-Уул,2020,74.2
"Арьс, мян.шир",    Дархан-Уул,2019,55.8
"Арьс, мян.шир",    Дархан-Уул,2018,111.9
"Арьс, мян.шир",    Дархан-Уул,2017,65.4
"Арьс, мян.шир",    Дархан-Уул,2016,74.1
"Арьс, мян.шир",    Дархан-Уул,2015,154.0
"Арьс, мян.шир",    Дархан-Уул,2014,82.63
"Арьс, мян.шир",    Дархан-Уул,2013,108.6
"Арьс, мян.шир",    Дархан-Уул,2012,104.1
"Арьс, мян.шир",    Дархан-Уул,2011,105.4
"Арьс, мян.шир",    Дархан-Уул,2010,207.8
"Арьс, мян.шир",    Говьсүмбэр,2025,64.715
"Арьс, мян.шир",    Говьсүмбэр,2024,68.1
"Арьс, мян.шир",    Говьсүмбэр,2023,114.4
"Арьс, мян.шир",    Говьсүмбэр,2022,81.7
"Арьс, мян.шир",    Говьсүмбэр,2021,104.2
"Арьс, мян.шир",    Говьсүмбэр,2020,98.2
"Арьс, мян.шир",    Говьсүмбэр,2019,82.7
"Арьс, мян.шир",    Говьсүмбэр,2018,98.4
"Арьс, мян.шир",    Говьсүмбэр,2017,84.6
"Арьс, мян.шир",    Говьсүмбэр,2016,107.7
"Арьс, мян.шир",    Говьсүмбэр,2015,87.9
"Арьс, мян.шир",    Говьсүмбэр,2014,51.85
"Арьс, мян.шир",    Говьсүмбэр,2013,48.2
"Арьс, мян.шир",    Говьсүмбэр,2012,41.1
"Арьс, мян.шир",    Говьсүмбэр,2011,30.8
"Арьс, мян.шир",    Говьсүмбэр,2010,55.5
"Арьс, мян.шир",Зүүн бүс,2025,1569.474
"Арьс, мян.шир",Зүүн бүс,2024,2018.7
"Арьс, мян.шир",Зүүн бүс,2023,2931.4
"Арьс, мян.шир",Зүүн бүс,2022,2084.0
"Арьс, мян.шир",Зүүн бүс,2021,1966.0
"Арьс, мян.шир",Зүүн бүс,2020,2341.5
"Арьс, мян.шир",Зүүн бүс,2019,1977.3
"Арьс, мян.шир",Зүүн бүс,2018,2320.5
"Арьс, мян.шир",Зүүн бүс,2017,1357.6
"Арьс, мян.шир",Зүүн бүс,2016,1995.8
"Арьс, мян.шир",Зүүн бүс,2015,1890.0
"Арьс, мян.шир",Зүүн бүс,2014,1605.92
"Арьс, мян.шир",Зүүн бүс,2013,1779.0
"Арьс, мян.шир",Зүүн бүс,2012,1657.7
"Арьс, мян.шир",Зүүн бүс,2011,1651.4
"Арьс, мян.шир",Зүүн бүс,2010,1643.2
"Арьс, мян.шир",    Дорнод,2025,567.575
"Арьс, мян.шир",    Дорнод,2024,649.2
"Арьс, мян.шир",    Дорнод,2023,766.7
"Арьс, мян.шир",    Дорнод,2022,511.4
"Арьс, мян.шир",    Дорнод,2021,437.2
"Арьс, мян.шир",    Дорнод,2020,498.0
"Арьс, мян.шир",    Дорнод,2019,357.3
"Арьс, мян.шир",    Дорнод,2018,450.7
"Арьс, мян.шир",    Дорнод,2017,236.4
"Арьс, мян.шир",    Дорнод,2016,354.5
"Арьс, мян.шир",    Дорнод,2015,326.4
"Арьс, мян.шир",    Дорнод,2014,256.61
"Арьс, мян.шир",    Дорнод,2013,378.0
"Арьс, мян.шир",    Дорнод,2012,335.4
"Арьс, мян.шир",    Дорнод,2011,359.9
"Арьс, мян.шир",    Дорнод,2010,528.9
"Арьс, мян.шир",    Сүхбаатар,2025,283.217
"Арьс, мян.шир",    Сүхбаатар,2024,563.1
"Арьс, мян.шир",    Сүхбаатар,2023,1032.3
"Арьс, мян.шир",    Сүхбаатар,2022,617.9
"Арьс, мян.шир",    Сүхбаатар,2021,622.8
"Арьс, мян.шир",    Сүхбаатар,2020,730.0
"Арьс, мян.шир",    Сүхбаатар,2019,697.5
"Арьс, мян.шир",    Сүхбаатар,2018,909.1
"Арьс, мян.шир",    Сүхбаатар,2017,490.8
"Арьс, мян.шир",    Сүхбаатар,2016,757.8
"Арьс, мян.шир",    Сүхбаатар,2015,700.7
"Арьс, мян.шир",    Сүхбаатар,2014,580.31
"Арьс, мян.шир",    Сүхбаатар,2013,632.9
"Арьс, мян.шир",    Сүхбаатар,2012,576.4
"Арьс, мян.шир",    Сүхбаатар,2011,579.5
"Арьс, мян.шир",    Сүхбаатар,2010,417.4
"Арьс, мян.шир",    Хэнтий,2025,718.682
"Арьс, мян.шир",    Хэнтий,2024,806.3
"Арьс, мян.шир",    Хэнтий,2023,1132.5
"Арьс, мян.шир",    Хэнтий,2022,954.6
"Арьс, мян.шир",    Хэнтий,2021,906.0
"Арьс, мян.шир",    Хэнтий,2020,1113.5
"Арьс, мян.шир",    Хэнтий,2019,922.4
"Арьс, мян.шир",    Хэнтий,2018,960.7
"Арьс, мян.шир",    Хэнтий,2017,630.4
"Арьс, мян.шир",    Хэнтий,2016,883.5
"Арьс, мян.шир",    Хэнтий,2015,862.9
"Арьс, мян.шир",    Хэнтий,2014,769.0
"Арьс, мян.шир",    Хэнтий,2013,768.1
"Арьс, мян.шир",    Хэнтий,2012,745.9
"Арьс, мян.шир",    Хэнтий,2011,712.0
"Арьс, мян.шир",    Хэнтий,2010,696.9
"Арьс, мян.шир",Улаанбаатар,2025,80.682
"Арьс, мян.шир",Улаанбаатар,2024,69.5
"Арьс, мян.шир",Улаанбаатар,2023,83.3
"Арьс, мян.шир",Улаанбаатар,2022,103.7
"Арьс, мян.шир",Улаанбаатар,2021,120.8
"Арьс, мян.шир",Улаанбаатар,2020,86.4
"Арьс, мян.шир",Улаанбаатар,2019,78.3
"Арьс, мян.шир",Улаанбаатар,2018,146.9
"Арьс, мян.шир",Улаанбаатар,2017,110.8
"Арьс, мян.шир",Улаанбаатар,2016,93.8
"Арьс, мян.шир",Улаанбаатар,2015,130.6
"Арьс, мян.шир",Улаанбаатар,2014,83.47
"Арьс, мян.шир",Улаанбаатар,2013,108.9
"Арьс, мян.шир",Улаанбаатар,2012,92.9
"Арьс, мян.шир",Улаанбаатар,2011,108.8
"Арьс, мян.шир",Улаанбаатар,2010,195.9
"Арьс, мян.шир",    Улаанбаатар,2025,80.682
"Арьс, мян.шир",    Улаанбаатар,2024,69.5
"Арьс, мян.шир",    Улаанбаатар,2023,83.3
"Арьс, мян.шир",    Улаанбаатар,2022,103.7
"Арьс, мян.шир",    Улаанбаатар,2021,120.8
"Арьс, мян.шир",    Улаанбаатар,2020,86.4
"Арьс, мян.шир",    Улаанбаатар,2019,78.3
"Арьс, мян.шир",    Улаанбаатар,2018,146.9
"Арьс, мян.шир",    Улаанбаатар,2017,110.8
"Арьс, мян.шир",    Улаанбаатар,2016,93.8
"Арьс, мян.шир",    Улаанбаатар,2015,130.6
"Арьс, мян.шир",    Улаанбаатар,2014,83.47
"Арьс, мян.шир",    Улаанбаатар,2013,108.9
"Арьс, мян.шир",    Улаанбаатар,2012,92.9
"Арьс, мян.шир",    Улаанбаатар,2011,108.8
"Арьс, мян.шир",    Улаанбаатар,2010,195.9
"Мах, тонн",Улсын дүн,2025,699872.382
"Мах, тонн",Улсын дүн,2024,453136.6
"Мах, тонн",Улсын дүн,2023,668559.2
"Мах, тонн",Улсын дүн,2022,650145.9
"Мах, тонн",Улсын дүн,2021,506970.2
"Мах, тонн",Улсын дүн,2020,746161.1
"Мах, тонн",Улсын дүн,2019,543817.1
"Мах, тонн",Улсын дүн,2018,515182.5
"Мах, тонн",Улсын дүн,2017,426168.4
"Мах, тонн",Улсын дүн,2016,401584.7
"Мах, тонн",Улсын дүн,2015,448155.8
"Мах, тонн",Улсын дүн,2014,291655.8
"Мах, тонн",Улсын дүн,2013,299280.7
"Мах, тонн",Улсын дүн,2012,263415.5
"Мах, тонн",Улсын дүн,2011,251347.9
"Мах, тонн",Улсын дүн,2010,241050.3
"Мах, тонн",Баруун бүс,2025,169211.179
"Мах, тонн",Баруун бүс,2024,87262.9
"Мах, тонн",Баруун бүс,2023,114859.6
"Мах, тонн",Баруун бүс,2022,169011.3
"Мах, тонн",Баруун бүс,2021,102702.1
"Мах, тонн",Баруун бүс,2020,159588.5
"Мах, тонн",Баруун бүс,2019,113413.0
"Мах, тонн",Баруун бүс,2018,117543.1
"Мах, тонн",Баруун бүс,2017,91259.9
"Мах, тонн",Баруун бүс,2016,75848.7
"Мах, тонн",Баруун бүс,2015,88039.8
"Мах, тонн",Баруун бүс,2014,57336.7
"Мах, тонн",Баруун бүс,2013,56826.4
"Мах, тонн",Баруун бүс,2012,45375.9
"Мах, тонн",Баруун бүс,2011,40640.0
"Мах, тонн",Баруун бүс,2010,47118.5
"Мах, тонн",    Баян-Өлгий,2025,26317.587
"Мах, тонн",    Баян-Өлгий,2024,17566.5
"Мах, тонн",    Баян-Өлгий,2023,22424.2
"Мах, тонн",    Баян-Өлгий,2022,29782.4
"Мах, тонн",    Баян-Өлгий,2021,16705.0
"Мах, тонн",    Баян-Өлгий,2020,25910.1
"Мах, тонн",    Баян-Өлгий,2019,21132.5
"Мах, тонн",    Баян-Өлгий,2018,21079.7
"Мах, тонн",    Баян-Өлгий,2017,19728.8
"Мах, тонн",    Баян-Өлгий,2016,17815.3
"Мах, тонн",    Баян-Өлгий,2015,17534.7
"Мах, тонн",    Баян-Өлгий,2014,9913.3
"Мах, тонн",    Баян-Өлгий,2013,9360.8
"Мах, тонн",    Баян-Өлгий,2012,8590.3
"Мах, тонн",    Баян-Өлгий,2011,7490.8
"Мах, тонн",    Баян-Өлгий,2010,9337.0
"Мах, тонн",    Говь-Алтай,2025,31607.82
"Мах, тонн",    Говь-Алтай,2024,19856.3
"Мах, тонн",    Говь-Алтай,2023,22382.7
"Мах, тонн",    Говь-Алтай,2022,26512.0
"Мах, тонн",    Говь-Алтай,2021,17299.6
"Мах, тонн",    Говь-Алтай,2020,36099.6
"Мах, тонн",    Говь-Алтай,2019,23435.5
"Мах, тонн",    Говь-Алтай,2018,24390.2
"Мах, тонн",    Говь-Алтай,2017,16990.5
"Мах, тонн",    Говь-Алтай,2016,10184.6
"Мах, тонн",    Говь-Алтай,2015,12357.6
