огноо,валютын_код,валютын_нэр,ханш_төгрөг
2025-06-01,EUR,Евро,4120.4387
2025-06-01,JPY,Японы иен,24.7723
2025-06-01,KRW,Солонгосын вон,2.6213
2025-06-01,RUB,Оросын рубль,45.4193
2025-06-01,USD,Америк доллар,3577.5573
2025-07-01,CNY,Хятад юань,499.6635
2025-07-01,EUR,Евро,4194.8358
2025-07-01,JPY,Японы иен,24.4319
2025-07-01,KRW,Солонгосын вон,2.6035
2025-07-01,RUB,Оросын рубль,45.4813
2025-07-01,USD,Америк доллар,3584.6771
2025-08-01,CNY,Хятад юань,500.6116
2025-08-01,EUR,Евро,4175.7932
2025-08-01,JPY,Японы иен,24.31
2025-08-01,KRW,Солонгосын вон,2.5813
2025-08-01,RUB,Оросын рубль,44.8645
2025-08-01,USD,Америк доллар,3592.1368
2025-09-01,CNY,Хятад юань,504.387
2025-09-01,EUR,Евро,4214.8923
2025-09-01,JPY,Японы иен,24.281
2025-09-01,KRW,Солонгосын вон,2.58
2025-09-01,RUB,Оросын рубль,43.336
2025-09-01,USD,Америк доллар,3593.9177
2025-10-01,CNY,Хятад юань,504.4494
2025-10-01,EUR,Евро,4183.3048
2025-10-01,JPY,Японы иен,23.7632
2025-10-01,KRW,Солонгосын вон,2.5239
2025-10-01,RUB,Оросын рубль,44.3803
2025-10-01,USD,Америк доллар,3592.1813
2025-11-01,CNY,Хятад юань,502.344
2025-11-01,EUR,Евро,4127.2437
2025-11-01,JPY,Японы иен,23.0107
2025-11-01,KRW,Солонгосын вон,2.4473
2025-11-01,RUB,Оросын рубль,44.442
2025-11-01,USD,Америк доллар,3570.7323
2025-12-01,CNY,Хятад юань,504.0019
2025-12-01,EUR,Евро,4157.2342
2025-12-01,JPY,Японы иен,22.7694
2025-12-01,KRW,Солонгосын вон,2.42
2025-12-01,RUB,Оросын рубль,45.251
2025-12-01,USD,Америк доллар,3549.3394
2026-01-01,CNY,Хятад юань,510.8061
2026-01-01,EUR,Евро,4176.3816
2026-01-01,JPY,Японы иен,22.69
2026-01-01,KRW,Солонгосын вон,2.4439
2026-01-01,RUB,Оросын рубль,45.6568
2026-01-01,USD,Америк доллар,3560.7381
2026-02-01,CNY,Хятад юань,515.9896
2026-02-01,EUR,Евро,4224.05
2026-02-01,JPY,Японы иен,23.0339
2026-02-01,KRW,Солонгосын вон,2.4668
2026-02-01,RUB,Оросын рубль,46.3564
2026-02-01,USD,Америк доллар,3565.7493
2026-03-01,CNY,Хятад юань,517.3329
2026-03-01,EUR,Евро,4123.7955
2026-03-01,JPY,Японы иен,22.4958
2026-03-01,KRW,Солонгосын вон,2.3965
