Indicators,Region,Annual,value
 Intersoum hospital, Darkhan-Uul,2016,0.0
 Intersoum hospital, Darkhan-Uul,2015,0.0
 Intersoum hospital, Dornogovi,2024,0.0
 Intersoum hospital, Dornogovi,2023,0.0
 Intersoum hospital, Dornogovi,2022,0.0
 Intersoum hospital, Dornogovi,2021,0.0
 Intersoum hospital, Dornogovi,2020,0.0
 Intersoum hospital, Dornogovi,2019,0.0
 Intersoum hospital, Dornogovi,2018,1.0
 Intersoum hospital, Dornogovi,2017,1.0
 Intersoum hospital, Dornogovi,2016,1.0
 Intersoum hospital, Dornogovi,2015,1.0
 Intersoum hospital, Dundgovi,2024,0.0
 Intersoum hospital, Dundgovi,2023,0.0
 Intersoum hospital, Dundgovi,2022,0.0
 Intersoum hospital, Dundgovi,2021,0.0
 Intersoum hospital, Dundgovi,2020,0.0
 Intersoum hospital, Dundgovi,2019,0.0
 Intersoum hospital, Dundgovi,2018,2.0
 Intersoum hospital, Dundgovi,2017,2.0
 Intersoum hospital, Dundgovi,2016,2.0
 Intersoum hospital, Dundgovi,2015,2.0
 Intersoum hospital, Umnugovi,2024,0.0
 Intersoum hospital, Umnugovi,2023,0.0
 Intersoum hospital, Umnugovi,2022,0.0
 Intersoum hospital, Umnugovi,2021,0.0
 Intersoum hospital, Umnugovi,2020,0.0
 Intersoum hospital, Umnugovi,2019,0.0
 Intersoum hospital, Umnugovi,2018,3.0
 Intersoum hospital, Umnugovi,2017,3.0
 Intersoum hospital, Umnugovi,2016,3.0
 Intersoum hospital, Umnugovi,2015,3.0
 Intersoum hospital, Selenge,2024,0.0
 Intersoum hospital, Selenge,2023,0.0
 Intersoum hospital, Selenge,2022,0.0
 Intersoum hospital, Selenge,2021,0.0
 Intersoum hospital, Selenge,2020,0.0
 Intersoum hospital, Selenge,2019,0.0
 Intersoum hospital, Selenge,2018,1.0
 Intersoum hospital, Selenge,2017,1.0
 Intersoum hospital, Selenge,2016,1.0
 Intersoum hospital, Selenge,2015,1.0
 Intersoum hospital, Tuv,2024,0.0
 Intersoum hospital, Tuv,2023,0.0
 Intersoum hospital, Tuv,2022,0.0
 Intersoum hospital, Tuv,2021,0.0
 Intersoum hospital, Tuv,2020,0.0
 Intersoum hospital, Tuv,2019,0.0
 Intersoum hospital, Tuv,2018,0.0
 Intersoum hospital, Tuv,2017,0.0
 Intersoum hospital, Tuv,2016,0.0
 Intersoum hospital, Tuv,2015,0.0
 Intersoum hospital, Eastern region,2024,0.0
 Intersoum hospital, Eastern region,2023,0.0
 Intersoum hospital, Eastern region,2022,0.0
 Intersoum hospital, Eastern region,2021,0.0
 Intersoum hospital, Eastern region,2020,0.0
 Intersoum hospital, Eastern region,2019,0.0
 Intersoum hospital, Eastern region,2018,6.0
 Intersoum hospital, Eastern region,2017,6.0
 Intersoum hospital, Eastern region,2016,6.0
 Intersoum hospital, Eastern region,2015,6.0
 Intersoum hospital, Dornod,2024,0.0
 Intersoum hospital, Dornod,2023,0.0
 Intersoum hospital, Dornod,2022,0.0
 Intersoum hospital, Dornod,2021,0.0
 Intersoum hospital, Dornod,2020,0.0
 Intersoum hospital, Dornod,2019,0.0
 Intersoum hospital, Dornod,2018,3.0
 Intersoum hospital, Dornod,2017,3.0
 Intersoum hospital, Dornod,2016,3.0
 Intersoum hospital, Dornod,2015,3.0
 Intersoum hospital, Sukhbaatar,2024,0.0
 Intersoum hospital, Sukhbaatar,2023,0.0
 Intersoum hospital, Sukhbaatar,2022,0.0
 Intersoum hospital, Sukhbaatar,2021,0.0
 Intersoum hospital, Sukhbaatar,2020,0.0
 Intersoum hospital, Sukhbaatar,2019,0.0
 Intersoum hospital, Sukhbaatar,2018,1.0
 Intersoum hospital, Sukhbaatar,2017,1.0
 Intersoum hospital, Sukhbaatar,2016,1.0
 Intersoum hospital, Sukhbaatar,2015,1.0
 Intersoum hospital, Khentii,2024,0.0
 Intersoum hospital, Khentii,2023,0.0
 Intersoum hospital, Khentii,2022,0.0
 Intersoum hospital, Khentii,2021,0.0
 Intersoum hospital, Khentii,2020,0.0
 Intersoum hospital, Khentii,2019,0.0
 Intersoum hospital, Khentii,2018,2.0
 Intersoum hospital, Khentii,2017,2.0
 Intersoum hospital, Khentii,2016,2.0
 Intersoum hospital, Khentii,2015,2.0
 Intersoum hospital, Ulaanbaatar,2024,0.0
 Intersoum hospital, Ulaanbaatar,2023,0.0
 Intersoum hospital, Ulaanbaatar,2022,0.0
 Intersoum hospital, Ulaanbaatar,2021,0.0
 Intersoum hospital, Ulaanbaatar,2020,0.0
 Intersoum hospital, Ulaanbaatar,2019,0.0
 Intersoum hospital, Ulaanbaatar,2018,0.0
 Intersoum hospital, Ulaanbaatar,2017,0.0
 Intersoum hospital, Ulaanbaatar,2016,0.0
 Intersoum hospital, Ulaanbaatar,2015,0.0
 Intersoum hospital,   Ulaanbaatar,2024,
 Intersoum hospital,   Ulaanbaatar,2023,
 Intersoum hospital,   Ulaanbaatar,2022,
 Intersoum hospital,   Ulaanbaatar,2021,
 Intersoum hospital,   Ulaanbaatar,2020,
 Intersoum hospital,   Ulaanbaatar,2019,
 Intersoum hospital,   Ulaanbaatar,2018,
 Intersoum hospital,   Ulaanbaatar,2017,
 Intersoum hospital,   Ulaanbaatar,2016,
 Intersoum hospital,   Ulaanbaatar,2015,
 District general hospital,Total,2024,4.0
 District general hospital,Total,2023,4.0
 District general hospital,Total,2022,4.0
 District general hospital,Total,2021,4.0
 District general hospital,Total,2020,4.0
 District general hospital,Total,2019,4.0
 District general hospital,Total,2018,12.0
 District general hospital,Total,2017,12.0
 District general hospital,Total,2016,12.0
 District general hospital,Total,2015,12.0
 District general hospital, Western region,2024,0.0
 District general hospital, Western region,2023,0.0
 District general hospital, Western region,2022,0.0
 District general hospital, Western region,2021,0.0
 District general hospital, Western region,2020,0.0
 District general hospital, Western region,2019,0.0
 District general hospital, Western region,2018,0.0
 District general hospital, Western region,2017,0.0
 District general hospital, Western region,2016,0.0
 District general hospital, Western region,2015,0.0
 District general hospital, Bayan-Ulgii,2024,0.0
 District general hospital, Bayan-Ulgii,2023,0.0
 District general hospital, Bayan-Ulgii,2022,0.0
 District general hospital, Bayan-Ulgii,2021,0.0
 District general hospital, Bayan-Ulgii,2020,0.0
 District general hospital, Bayan-Ulgii,2019,0.0
 District general hospital, Bayan-Ulgii,2018,0.0
 District general hospital, Bayan-Ulgii,2017,0.0
 District general hospital, Bayan-Ulgii,2016,0.0
 District general hospital, Bayan-Ulgii,2015,0.0
 District general hospital, Govi-Altai,2024,0.0
 District general hospital, Govi-Altai,2023,0.0
 District general hospital, Govi-Altai,2022,0.0
 District general hospital, Govi-Altai,2021,0.0
 District general hospital, Govi-Altai,2020,0.0
 District general hospital, Govi-Altai,2019,0.0
 District general hospital, Govi-Altai,2018,0.0
 District general hospital, Govi-Altai,2017,0.0
 District general hospital, Govi-Altai,2016,0.0
 District general hospital, Govi-Altai,2015,0.0
 District general hospital, Zavkhan,2024,0.0
 District general hospital, Zavkhan,2023,0.0
 District general hospital, Zavkhan,2022,0.0
 District general hospital, Zavkhan,2021,0.0
 District general hospital, Zavkhan,2020,0.0
 District general hospital, Zavkhan,2019,0.0
 District general hospital, Zavkhan,2018,0.0
 District general hospital, Zavkhan,2017,0.0
 District general hospital, Zavkhan,2016,0.0
 District general hospital, Zavkhan,2015,0.0
 District general hospital, Uvs,2024,0.0
 District general hospital, Uvs,2023,0.0
 District general hospital, Uvs,2022,0.0
 District general hospital, Uvs,2021,0.0
 District general hospital, Uvs,2020,0.0
 District general hospital, Uvs,2019,0.0
 District general hospital, Uvs,2018,0.0
 District general hospital, Uvs,2017,0.0
 District general hospital, Uvs,2016,0.0
 District general hospital, Uvs,2015,0.0
 District general hospital, Khovd,2024,0.0
 District general hospital, Khovd,2023,0.0
 District general hospital, Khovd,2022,0.0
 District general hospital, Khovd,2021,0.0
 District general hospital, Khovd,2020,0.0
 District general hospital, Khovd,2019,0.0
 District general hospital, Khovd,2018,0.0
 District general hospital, Khovd,2017,0.0
 District general hospital, Khovd,2016,0.0
 District general hospital, Khovd,2015,0.0
 District general hospital, Khangai region,2024,0.0
 District general hospital, Khangai region,2023,0.0
 District general hospital, Khangai region,2022,0.0
 District general hospital, Khangai region,2021,0.0
 District general hospital, Khangai region,2020,0.0
 District general hospital, Khangai region,2019,0.0
 District general hospital, Khangai region,2018,0.0
 District general hospital, Khangai region,2017,0.0
 District general hospital, Khangai region,2016,0.0
 District general hospital, Khangai region,2015,0.0
 District general hospital, Arkhangai,2024,0.0
 District general hospital, Arkhangai,2023,0.0
 District general hospital, Arkhangai,2022,0.0
 District general hospital, Arkhangai,2021,0.0
 District general hospital, Arkhangai,2020,0.0
 District general hospital, Arkhangai,2019,0.0
 District general hospital, Arkhangai,2018,0.0
 District general hospital, Arkhangai,2017,0.0
 District general hospital, Arkhangai,2016,0.0
 District general hospital, Arkhangai,2015,0.0
 District general hospital, Bayankhongor,2024,0.0
 District general hospital, Bayankhongor,2023,0.0
 District general hospital, Bayankhongor,2022,0.0
 District general hospital, Bayankhongor,2021,0.0
 District general hospital, Bayankhongor,2020,0.0
 District general hospital, Bayankhongor,2019,0.0
 District general hospital, Bayankhongor,2018,0.0
 District general hospital, Bayankhongor,2017,0.0
 District general hospital, Bayankhongor,2016,0.0
 District general hospital, Bayankhongor,2015,0.0
 District general hospital, Bulgan,2024,0.0
 District general hospital, Bulgan,2023,0.0
 District general hospital, Bulgan,2022,0.0
 District general hospital, Bulgan,2021,0.0
 District general hospital, Bulgan,2020,0.0
 District general hospital, Bulgan,2019,0.0
 District general hospital, Bulgan,2018,0.0
 District general hospital, Bulgan,2017,0.0
 District general hospital, Bulgan,2016,0.0
 District general hospital, Bulgan,2015,0.0
 District general hospital, Orkhon,2024,0.0
 District general hospital, Orkhon,2023,0.0
 District general hospital, Orkhon,2022,0.0
 District general hospital, Orkhon,2021,0.0
 District general hospital, Orkhon,2020,0.0
 District general hospital, Orkhon,2019,0.0
 District general hospital, Orkhon,2018,0.0
 District general hospital, Orkhon,2017,0.0
 District general hospital, Orkhon,2016,0.0
 District general hospital, Orkhon,2015,0.0
 District general hospital, Uvurkhangai,2024,0.0
 District general hospital, Uvurkhangai,2023,0.0
 District general hospital, Uvurkhangai,2022,0.0
 District general hospital, Uvurkhangai,2021,0.0
 District general hospital, Uvurkhangai,2020,0.0
 District general hospital, Uvurkhangai,2019,0.0
 District general hospital, Uvurkhangai,2018,0.0
 District general hospital, Uvurkhangai,2017,0.0
 District general hospital, Uvurkhangai,2016,0.0
 District general hospital, Uvurkhangai,2015,0.0
 District general hospital, Khuvsgul,2024,0.0
 District general hospital, Khuvsgul,2023,0.0
 District general hospital, Khuvsgul,2022,0.0
 District general hospital, Khuvsgul,2021,0.0
 District general hospital, Khuvsgul,2020,0.0
 District general hospital, Khuvsgul,2019,0.0
 District general hospital, Khuvsgul,2018,0.0
 District general hospital, Khuvsgul,2017,0.0
 District general hospital, Khuvsgul,2016,0.0
 District general hospital, Khuvsgul,2015,0.0
 District general hospital, Central region,2024,0.0
 District general hospital, Central region,2023,0.0
 District general hospital, Central region,2022,0.0
 District general hospital, Central region,2021,0.0
 District general hospital, Central region,2020,0.0
 District general hospital, Central region,2019,0.0
 District general hospital, Central region,2018,0.0
 District general hospital, Central region,2017,0.0
 District general hospital, Central region,2016,0.0
 District general hospital, Central region,2015,0.0
 District general hospital, Govisumber,2024,0.0
 District general hospital, Govisumber,2023,0.0
 District general hospital, Govisumber,2022,0.0
 District general hospital, Govisumber,2021,0.0
 District general hospital, Govisumber,2020,0.0
 District general hospital, Govisumber,2019,0.0
 District general hospital, Govisumber,2018,0.0
 District general hospital, Govisumber,2017,0.0
 District general hospital, Govisumber,2016,0.0
 District general hospital, Govisumber,2015,0.0
 District general hospital, Darkhan-Uul,2024,0.0
 District general hospital, Darkhan-Uul,2023,0.0
 District general hospital, Darkhan-Uul,2022,0.0
 District general hospital, Darkhan-Uul,2021,0.0
 District general hospital, Darkhan-Uul,2020,0.0
 District general hospital, Darkhan-Uul,2019,0.0
 District general hospital, Darkhan-Uul,2018,0.0
 District general hospital, Darkhan-Uul,2017,0.0
 District general hospital, Darkhan-Uul,2016,0.0
 District general hospital, Darkhan-Uul,2015,0.0
 District general hospital, Dornogovi,2024,0.0
 District general hospital, Dornogovi,2023,0.0
 District general hospital, Dornogovi,2022,0.0
 District general hospital, Dornogovi,2021,0.0
 District general hospital, Dornogovi,2020,0.0
 District general hospital, Dornogovi,2019,0.0
 District general hospital, Dornogovi,2018,0.0
 District general hospital, Dornogovi,2017,0.0
 District general hospital, Dornogovi,2016,0.0
 District general hospital, Dornogovi,2015,0.0
 District general hospital, Dundgovi,2024,0.0
 District general hospital, Dundgovi,2023,0.0
 District general hospital, Dundgovi,2022,0.0
 District general hospital, Dundgovi,2021,0.0
 District general hospital, Dundgovi,2020,0.0
 District general hospital, Dundgovi,2019,0.0
 District general hospital, Dundgovi,2018,0.0
 District general hospital, Dundgovi,2017,0.0
 District general hospital, Dundgovi,2016,0.0
 District general hospital, Dundgovi,2015,0.0
 District general hospital, Umnugovi,2024,0.0
 District general hospital, Umnugovi,2023,0.0
 District general hospital, Umnugovi,2022,0.0
 District general hospital, Umnugovi,2021,0.0
 District general hospital, Umnugovi,2020,0.0
 District general hospital, Umnugovi,2019,0.0
 District general hospital, Umnugovi,2018,0.0
 District general hospital, Umnugovi,2017,0.0
 District general hospital, Umnugovi,2016,0.0
 District general hospital, Umnugovi,2015,0.0
 District general hospital, Selenge,2024,0.0
 District general hospital, Selenge,2023,0.0
 District general hospital, Selenge,2022,0.0
 District general hospital, Selenge,2021,0.0
 District general hospital, Selenge,2020,0.0
 District general hospital, Selenge,2019,0.0
 District general hospital, Selenge,2018,0.0
 District general hospital, Selenge,2017,0.0
 District general hospital, Selenge,2016,0.0
 District general hospital, Selenge,2015,0.0
 District general hospital, Tuv,2024,0.0
 District general hospital, Tuv,2023,0.0
 District general hospital, Tuv,2022,0.0
 District general hospital, Tuv,2021,0.0
 District general hospital, Tuv,2020,0.0
 District general hospital, Tuv,2019,0.0
 District general hospital, Tuv,2018,0.0
 District general hospital, Tuv,2017,0.0
 District general hospital, Tuv,2016,0.0
 District general hospital, Tuv,2015,0.0
 District general hospital, Eastern region,2024,0.0
 District general hospital, Eastern region,2023,0.0
 District general hospital, Eastern region,2022,0.0
 District general hospital, Eastern region,2021,0.0
 District general hospital, Eastern region,2020,0.0
 District general hospital, Eastern region,2019,0.0
 District general hospital, Eastern region,2018,0.0
 District general hospital, Eastern region,2017,0.0
 District general hospital, Eastern region,2016,0.0
 District general hospital, Eastern region,2015,0.0
 District general hospital, Dornod,2024,0.0
 District general hospital, Dornod,2023,0.0
 District general hospital, Dornod,2022,0.0
 District general hospital, Dornod,2021,0.0
 District general hospital, Dornod,2020,0.0
 District general hospital, Dornod,2019,0.0
 District general hospital, Dornod,2018,0.0
 District general hospital, Dornod,2017,0.0
 District general hospital, Dornod,2016,0.0
 District general hospital, Dornod,2015,0.0
 District general hospital, Sukhbaatar,2024,0.0
 District general hospital, Sukhbaatar,2023,0.0
 District general hospital, Sukhbaatar,2022,0.0
 District general hospital, Sukhbaatar,2021,0.0
 District general hospital, Sukhbaatar,2020,0.0
 District general hospital, Sukhbaatar,2019,0.0
 District general hospital, Sukhbaatar,2018,0.0
 District general hospital, Sukhbaatar,2017,0.0
 District general hospital, Sukhbaatar,2016,0.0
 District general hospital, Sukhbaatar,2015,0.0
 District general hospital, Khentii,2024,0.0
 District general hospital, Khentii,2023,0.0
 District general hospital, Khentii,2022,0.0
 District general hospital, Khentii,2021,0.0
 District general hospital, Khentii,2020,0.0
 District general hospital, Khentii,2019,0.0
 District general hospital, Khentii,2018,0.0
 District general hospital, Khentii,2017,0.0
 District general hospital, Khentii,2016,0.0
 District general hospital, Khentii,2015,0.0
 District general hospital, Ulaanbaatar,2024,4.0
 District general hospital, Ulaanbaatar,2023,4.0
 District general hospital, Ulaanbaatar,2022,4.0
 District general hospital, Ulaanbaatar,2021,4.0
 District general hospital, Ulaanbaatar,2020,4.0
 District general hospital, Ulaanbaatar,2019,4.0
 District general hospital, Ulaanbaatar,2018,12.0
 District general hospital, Ulaanbaatar,2017,12.0
 District general hospital, Ulaanbaatar,2016,12.0
 District general hospital, Ulaanbaatar,2015,12.0
 District general hospital,   Ulaanbaatar,2024,
 District general hospital,   Ulaanbaatar,2023,
 District general hospital,   Ulaanbaatar,2022,
 District general hospital,   Ulaanbaatar,2021,
 District general hospital,   Ulaanbaatar,2020,
 District general hospital,   Ulaanbaatar,2019,
 District general hospital,   Ulaanbaatar,2018,
 District general hospital,   Ulaanbaatar,2017,
 District general hospital,   Ulaanbaatar,2016,
 District general hospital,   Ulaanbaatar,2015,
 Rural general hospital,Total,2024,6.0
 Rural general hospital,Total,2023,6.0
 Rural general hospital,Total,2022,6.0
 Rural general hospital,Total,2021,6.0
 Rural general hospital,Total,2020,6.0
 Rural general hospital,Total,2019,6.0
 Rural general hospital,Total,2018,6.0
 Rural general hospital,Total,2017,6.0
 Rural general hospital,Total,2016,6.0
 Rural general hospital,Total,2015,6.0
 Rural general hospital, Western region,2024,2.0
 Rural general hospital, Western region,2023,2.0
 Rural general hospital, Western region,2022,2.0
 Rural general hospital, Western region,2021,2.0
 Rural general hospital, Western region,2020,2.0
 Rural general hospital, Western region,2019,2.0
 Rural general hospital, Western region,2018,2.0
 Rural general hospital, Western region,2017,2.0
 Rural general hospital, Western region,2016,2.0
 Rural general hospital, Western region,2015,2.0
 Rural general hospital, Bayan-Ulgii,2024,0.0
 Rural general hospital, Bayan-Ulgii,2023,0.0
 Rural general hospital, Bayan-Ulgii,2022,0.0
 Rural general hospital, Bayan-Ulgii,2021,0.0
 Rural general hospital, Bayan-Ulgii,2020,0.0
 Rural general hospital, Bayan-Ulgii,2019,0.0
 Rural general hospital, Bayan-Ulgii,2018,0.0
 Rural general hospital, Bayan-Ulgii,2017,0.0
 Rural general hospital, Bayan-Ulgii,2016,0.0
 Rural general hospital, Bayan-Ulgii,2015,0.0
 Rural general hospital, Govi-Altai,2024,0.0
 Rural general hospital, Govi-Altai,2023,0.0
 Rural general hospital, Govi-Altai,2022,0.0
 Rural general hospital, Govi-Altai,2021,0.0
 Rural general hospital, Govi-Altai,2020,0.0
 Rural general hospital, Govi-Altai,2019,0.0
 Rural general hospital, Govi-Altai,2018,0.0
 Rural general hospital, Govi-Altai,2017,0.0
 Rural general hospital, Govi-Altai,2016,0.0
 Rural general hospital, Govi-Altai,2015,0.0
 Rural general hospital, Zavkhan,2024,1.0
 Rural general hospital, Zavkhan,2023,1.0
 Rural general hospital, Zavkhan,2022,1.0
 Rural general hospital, Zavkhan,2021,1.0
 Rural general hospital, Zavkhan,2020,1.0
 Rural general hospital, Zavkhan,2019,1.0
 Rural general hospital, Zavkhan,2018,1.0
 Rural general hospital, Zavkhan,2017,1.0
 Rural general hospital, Zavkhan,2016,1.0
 Rural general hospital, Zavkhan,2015,1.0
 Rural general hospital, Uvs,2024,0.0
 Rural general hospital, Uvs,2023,0.0
 Rural general hospital, Uvs,2022,0.0
 Rural general hospital, Uvs,2021,0.0
 Rural general hospital, Uvs,2020,0.0
 Rural general hospital, Uvs,2019,0.0
 Rural general hospital, Uvs,2018,0.0
 Rural general hospital, Uvs,2017,0.0
 Rural general hospital, Uvs,2016,0.0
 Rural general hospital, Uvs,2015,0.0
 Rural general hospital, Khovd,2024,1.0
 Rural general hospital, Khovd,2023,1.0
 Rural general hospital, Khovd,2022,1.0
 Rural general hospital, Khovd,2021,1.0
 Rural general hospital, Khovd,2020,1.0
 Rural general hospital, Khovd,2019,1.0
 Rural general hospital, Khovd,2018,1.0
 Rural general hospital, Khovd,2017,1.0
 Rural general hospital, Khovd,2016,1.0
 Rural general hospital, Khovd,2015,1.0
 Rural general hospital, Khangai region,2024,1.0
 Rural general hospital, Khangai region,2023,1.0
 Rural general hospital, Khangai region,2022,1.0
 Rural general hospital, Khangai region,2021,1.0
 Rural general hospital, Khangai region,2020,1.0
 Rural general hospital, Khangai region,2019,1.0
 Rural general hospital, Khangai region,2018,1.0
 Rural general hospital, Khangai region,2017,1.0
 Rural general hospital, Khangai region,2016,1.0
 Rural general hospital, Khangai region,2015,1.0
 Rural general hospital, Arkhangai,2024,0.0
 Rural general hospital, Arkhangai,2023,0.0
 Rural general hospital, Arkhangai,2022,0.0
 Rural general hospital, Arkhangai,2021,0.0
 Rural general hospital, Arkhangai,2020,0.0
 Rural general hospital, Arkhangai,2019,0.0
 Rural general hospital, Arkhangai,2018,0.0
 Rural general hospital, Arkhangai,2017,0.0
 Rural general hospital, Arkhangai,2016,0.0
 Rural general hospital, Arkhangai,2015,0.0
 Rural general hospital, Bayankhongor,2024,0.0
 Rural general hospital, Bayankhongor,2023,0.0
 Rural general hospital, Bayankhongor,2022,0.0
 Rural general hospital, Bayankhongor,2021,0.0
 Rural general hospital, Bayankhongor,2020,0.0
 Rural general hospital, Bayankhongor,2019,0.0
 Rural general hospital, Bayankhongor,2018,0.0
 Rural general hospital, Bayankhongor,2017,0.0
 Rural general hospital, Bayankhongor,2016,0.0
 Rural general hospital, Bayankhongor,2015,0.0
 Rural general hospital, Bulgan,2024,0.0
 Rural general hospital, Bulgan,2023,0.0
 Rural general hospital, Bulgan,2022,0.0
 Rural general hospital, Bulgan,2021,0.0
 Rural general hospital, Bulgan,2020,0.0
 Rural general hospital, Bulgan,2019,0.0
 Rural general hospital, Bulgan,2018,0.0
 Rural general hospital, Bulgan,2017,0.0
 Rural general hospital, Bulgan,2016,0.0
 Rural general hospital, Bulgan,2015,0.0
 Rural general hospital, Orkhon,2024,0.0
 Rural general hospital, Orkhon,2023,0.0
 Rural general hospital, Orkhon,2022,0.0
 Rural general hospital, Orkhon,2021,0.0
 Rural general hospital, Orkhon,2020,0.0
 Rural general hospital, Orkhon,2019,0.0
 Rural general hospital, Orkhon,2018,0.0
 Rural general hospital, Orkhon,2017,0.0
 Rural general hospital, Orkhon,2016,0.0
 Rural general hospital, Orkhon,2015,0.0
 Rural general hospital, Uvurkhangai,2024,1.0
 Rural general hospital, Uvurkhangai,2023,1.0
 Rural general hospital, Uvurkhangai,2022,1.0
 Rural general hospital, Uvurkhangai,2021,1.0
 Rural general hospital, Uvurkhangai,2020,1.0
 Rural general hospital, Uvurkhangai,2019,1.0
 Rural general hospital, Uvurkhangai,2018,1.0
 Rural general hospital, Uvurkhangai,2017,1.0
 Rural general hospital, Uvurkhangai,2016,1.0
 Rural general hospital, Uvurkhangai,2015,1.0
 Rural general hospital, Khuvsgul,2024,0.0
 Rural general hospital, Khuvsgul,2023,0.0
 Rural general hospital, Khuvsgul,2022,0.0
 Rural general hospital, Khuvsgul,2021,0.0
 Rural general hospital, Khuvsgul,2020,0.0
 Rural general hospital, Khuvsgul,2019,0.0
 Rural general hospital, Khuvsgul,2018,0.0
 Rural general hospital, Khuvsgul,2017,0.0
 Rural general hospital, Khuvsgul,2016,0.0
 Rural general hospital, Khuvsgul,2015,0.0
 Rural general hospital, Central region,2024,2.0
 Rural general hospital, Central region,2023,2.0
 Rural general hospital, Central region,2022,2.0
 Rural general hospital, Central region,2021,2.0
 Rural general hospital, Central region,2020,2.0
 Rural general hospital, Central region,2019,2.0
 Rural general hospital, Central region,2018,2.0
 Rural general hospital, Central region,2017,2.0
 Rural general hospital, Central region,2016,2.0
 Rural general hospital, Central region,2015,2.0
 Rural general hospital, Govisumber,2024,0.0
 Rural general hospital, Govisumber,2023,0.0
 Rural general hospital, Govisumber,2022,0.0
 Rural general hospital, Govisumber,2021,0.0
 Rural general hospital, Govisumber,2020,0.0
 Rural general hospital, Govisumber,2019,0.0
 Rural general hospital, Govisumber,2018,0.0
 Rural general hospital, Govisumber,2017,0.0
 Rural general hospital, Govisumber,2016,0.0
 Rural general hospital, Govisumber,2015,0.0
 Rural general hospital, Darkhan-Uul,2024,0.0
 Rural general hospital, Darkhan-Uul,2023,0.0
 Rural general hospital, Darkhan-Uul,2022,0.0
 Rural general hospital, Darkhan-Uul,2021,0.0
 Rural general hospital, Darkhan-Uul,2020,0.0
 Rural general hospital, Darkhan-Uul,2019,0.0
 Rural general hospital, Darkhan-Uul,2018,0.0
 Rural general hospital, Darkhan-Uul,2017,0.0
 Rural general hospital, Darkhan-Uul,2016,0.0
 Rural general hospital, Darkhan-Uul,2015,0.0
 Rural general hospital, Dornogovi,2024,1.0
 Rural general hospital, Dornogovi,2023,1.0
 Rural general hospital, Dornogovi,2022,1.0
 Rural general hospital, Dornogovi,2021,1.0
 Rural general hospital, Dornogovi,2020,1.0
 Rural general hospital, Dornogovi,2019,1.0
 Rural general hospital, Dornogovi,2018,1.0
 Rural general hospital, Dornogovi,2017,1.0
 Rural general hospital, Dornogovi,2016,1.0
 Rural general hospital, Dornogovi,2015,1.0
 Rural general hospital, Dundgovi,2024,0.0
 Rural general hospital, Dundgovi,2023,0.0
 Rural general hospital, Dundgovi,2022,0.0
 Rural general hospital, Dundgovi,2021,0.0
 Rural general hospital, Dundgovi,2020,0.0
 Rural general hospital, Dundgovi,2019,0.0
 Rural general hospital, Dundgovi,2018,0.0
 Rural general hospital, Dundgovi,2017,0.0
 Rural general hospital, Dundgovi,2016,0.0
 Rural general hospital, Dundgovi,2015,0.0
 Rural general hospital, Umnugovi,2024,0.0
 Rural general hospital, Umnugovi,2023,0.0
 Rural general hospital, Umnugovi,2022,0.0
 Rural general hospital, Umnugovi,2021,0.0
 Rural general hospital, Umnugovi,2020,0.0
 Rural general hospital, Umnugovi,2019,0.0
 Rural general hospital, Umnugovi,2018,0.0
 Rural general hospital, Umnugovi,2017,0.0
 Rural general hospital, Umnugovi,2016,0.0
 Rural general hospital, Umnugovi,2015,0.0
 Rural general hospital, Selenge,2024,1.0
 Rural general hospital, Selenge,2023,1.0
 Rural general hospital, Selenge,2022,1.0
 Rural general hospital, Selenge,2021,1.0
 Rural general hospital, Selenge,2020,1.0
 Rural general hospital, Selenge,2019,1.0
 Rural general hospital, Selenge,2018,1.0
 Rural general hospital, Selenge,2017,1.0
 Rural general hospital, Selenge,2016,1.0
 Rural general hospital, Selenge,2015,1.0
 Rural general hospital, Tuv,2024,0.0
 Rural general hospital, Tuv,2023,0.0
 Rural general hospital, Tuv,2022,0.0
 Rural general hospital, Tuv,2021,0.0
 Rural general hospital, Tuv,2020,0.0
 Rural general hospital, Tuv,2019,0.0
 Rural general hospital, Tuv,2018,0.0
 Rural general hospital, Tuv,2017,0.0
 Rural general hospital, Tuv,2016,0.0
 Rural general hospital, Tuv,2015,0.0
 Rural general hospital, Eastern region,2024,1.0
 Rural general hospital, Eastern region,2023,1.0
 Rural general hospital, Eastern region,2022,1.0
 Rural general hospital, Eastern region,2021,1.0
 Rural general hospital, Eastern region,2020,1.0
 Rural general hospital, Eastern region,2019,1.0
 Rural general hospital, Eastern region,2018,1.0
 Rural general hospital, Eastern region,2017,1.0
 Rural general hospital, Eastern region,2016,1.0
 Rural general hospital, Eastern region,2015,1.0
 Rural general hospital, Dornod,2024,0.0
 Rural general hospital, Dornod,2023,0.0
 Rural general hospital, Dornod,2022,0.0
 Rural general hospital, Dornod,2021,0.0
 Rural general hospital, Dornod,2020,0.0
 Rural general hospital, Dornod,2019,0.0
 Rural general hospital, Dornod,2018,0.0
 Rural general hospital, Dornod,2017,0.0
 Rural general hospital, Dornod,2016,0.0
 Rural general hospital, Dornod,2015,0.0
 Rural general hospital, Sukhbaatar,2024,0.0
 Rural general hospital, Sukhbaatar,2023,0.0
 Rural general hospital, Sukhbaatar,2022,0.0
 Rural general hospital, Sukhbaatar,2021,0.0
 Rural general hospital, Sukhbaatar,2020,0.0
