Байршил,Зарлагын төрөл,Он,value
Хот,"    Бусдад өгсөн бэлэг, тусламж",2019,23802.0
Хот,"    Бусдад өгсөн бэлэг, тусламж",2018,24185.0
Хот,"    Бусдад өгсөн бэлэг, тусламж",2017,20531.0
Хот,"    Бусдад өгсөн бэлэг, тусламж",2016,22110.0
Хот,"    Бусдад өгсөн бэлэг, тусламж",2015,26463.0
Хот,"    Бусдад өгсөн бэлэг, тусламж",2014,22962.0
Хот,"    Бусдад өгсөн бэлэг, тусламж",2013,18245.0
Хот,"    Бусдад өгсөн бэлэг, тусламж",2012,14713.0
Хот,"    Бусдад өгсөн бэлэг, тусламж",2011,18337.0
Хот,"    Бусдад өгсөн бэлэг, тусламж",2010,11237.0
Хот,"    Бусдад өгсөн бэлэг, тусламж",2009,12628.0
Хот,"    Бусдад өгсөн бэлэг, тусламж",2008,7096.0
Хот,"    Бусдад өгсөн бэлэг, тусламж",2007,4076.0
Хот,"    Бусдад өгсөн бэлэг, тусламж",2006,4218.0
Хот,"    Бусдад өгсөн бэлэг, тусламж",2005,3375.0
Хот,"    Бусдад өгсөн бэлэг, тусламж",2004,2637.0
Хот,"    Бусдад өгсөн бэлэг, тусламж",2003,3446.0
Хот,"    Бусдад өгсөн бэлэг, тусламж",2002,3740.0
Хот,"    Бусдад өгсөн бэлэг, тусламж",2001,
Хот,"    Бусдад өгсөн бэлэг, тусламж",2000,
Хот,"    Бусдад өгсөн бэлэг, тусламж",1999,
Хот,"    Бусдад өгсөн бэлэг, тусламж",1998,
Хот,"    Бусдад өгсөн бэлэг, тусламж",1997,
Хот,2. Бусдаас үнэгүй авсан,2025,73304.0
Хот,2. Бусдаас үнэгүй авсан,2024,62157.0
Хот,2. Бусдаас үнэгүй авсан,2023,53586.0
Хот,2. Бусдаас үнэгүй авсан,2022,58784.0
Хот,2. Бусдаас үнэгүй авсан,2021,40045.0
Хот,2. Бусдаас үнэгүй авсан,2020,53795.0
Хот,2. Бусдаас үнэгүй авсан,2019,61676.0
Хот,2. Бусдаас үнэгүй авсан,2018,53722.0
Хот,2. Бусдаас үнэгүй авсан,2017,49829.0
Хот,2. Бусдаас үнэгүй авсан,2016,36928.0
Хот,2. Бусдаас үнэгүй авсан,2015,45286.0
