Үзүүлэлт,Огноо,Дүн (тэрбум төг)
Бусад хадгаламж,2018-03,13297.26
М2,2018-04,16240.15
М1,2018-04,2870.98
Бусад хадгаламж,2018-04,13369.17
М2,2018-05,17045.32
М1,2018-05,3201.4
Бусад хадгаламж,2018-05,13843.92
М2,2018-06,17342.87
М1,2018-06,3352.77
Бусад хадгаламж,2018-06,13990.11
М2,2018-07,17211.72
М1,2018-07,3090.15
Бусад хадгаламж,2018-07,14121.56
М2,2018-08,17440.41
М1,2018-08,3221.73
Бусад хадгаламж,2018-08,14218.68
М2,2018-09,17920.22
М1,2018-09,3423.12
Бусад хадгаламж,2018-09,14497.1
М2,2018-10,18332.54
М1,2018-10,3444.22
Бусад хадгаламж,2018-10,14888.32
М2,2018-11,18651.36
М1,2018-11,3447.02
Бусад хадгаламж,2018-11,15204.34
М2,2018-12,19474.7
М1,2018-12,4030.95
Бусад хадгаламж,2018-12,15443.74
М2,2019-01,19843.59
М1,2019-01,3685.62
Бусад хадгаламж,2019-01,16157.97
М2,2019-02,19796.18
М1,2019-02,3465.53
Бусад хадгаламж,2019-02,16330.65
М2,2019-03,19972.0
М1,2019-03,3672.89
Бусад хадгаламж,2019-03,16299.12
М2,2019-04,20146.63
М1,2019-04,3678.39
Бусад хадгаламж,2019-04,16468.24
М2,2019-05,20523.64
М1,2019-05,3806.39
Бусад хадгаламж,2019-05,16717.26
М2,2019-06,20441.39
М1,2019-06,4112.15
Бусад хадгаламж,2019-06,16329.24
М2,2019-07,20497.65
М1,2019-07,3790.76
Бусад хадгаламж,2019-07,16706.9
М2,2019-08,20685.41
М1,2019-08,3943.1
Бусад хадгаламж,2019-08,16742.32
М2,2019-09,20644.27
М1,2019-09,3811.94
Бусад хадгаламж,2019-09,16832.34
М2,2019-10,20682.23
М1,2019-10,4189.15
Бусад хадгаламж,2019-10,16493.08
М2,2019-11,20699.15
М1,2019-11,4003.73
Бусад хадгаламж,2019-11,16695.42
М2,2019-12,21063.59
М1,2019-12,3911.41
Бусад хадгаламж,2019-12,17152.18
М2,2020-01,20776.01
М1,2020-01,3667.14
Бусад хадгаламж,2020-01,17108.87
М2,2020-02,20839.41
М1,2020-02,3489.57
Бусад хадгаламж,2020-02,17349.84
М2,2020-03,20692.23
М1,2020-03,3473.53
Бусад хадгаламж,2020-03,17218.7
М2,2020-04,20476.38
М1,2020-04,3434.31
Бусад хадгаламж,2020-04,17042.07
М2,2020-05,20880.41
М1,2020-05,3637.25
Бусад хадгаламж,2020-05,17243.16
М2,2020-06,21592.06
М1,2020-06,3587.98
Бусад хадгаламж,2020-06,18004.08
М2,2020-07,21705.57
М1,2020-07,3472.05
Бусад хадгаламж,2020-07,18233.52
М2,2020-08,21747.05
М1,2020-08,3401.75
Бусад хадгаламж,2020-08,18345.29
М2,2020-09,22674.75
М1,2020-09,3571.36
Бусад хадгаламж,2020-09,19103.39
М2,2020-10,22785.29
М1,2020-10,3643.21
Бусад хадгаламж,2020-10,19142.07
М2,2020-11,23520.45
М1,2020-11,3926.12
Бусад хадгаламж,2020-11,19594.34
М2,2020-12,24480.75
М1,2020-12,4212.37
Бусад хадгаламж,2020-12,20268.38
М2,2021-01,24481.98
М1,2021-01,3897.9
Бусад хадгаламж,2021-01,20584.08
М2,2021-02,24914.84
М1,2021-02,4115.14
Бусад хадгаламж,2021-02,20799.7
М2,2021-03,25433.43
М1,2021-03,4342.06
Бусад хадгаламж,2021-03,21091.38
М2,2021-04,27045.37
М1,2021-04,5217.96
Бусад хадгаламж,2021-04,21827.41
М2,2021-05,27178.97
М1,2021-05,5777.93
Бусад хадгаламж,2021-05,21401.04
М2,2021-06,27974.09
М1,2021-06,5979.78
Бусад хадгаламж,2021-06,21994.31
М2,2021-07,27411.11
М1,2021-07,5603.34
Бусад хадгаламж,2021-07,21807.77
М2,2021-08,27411.35
