session_id,session_number,date,parliamentary_year,session_kind,scheduled_start_time,actual_start_time,start_delay_minutes,title_mn,agenda_count,on_time,late,excused_general,excused_medical,mission_local,mission_foreign,absent_unexplained,total_members,data_provisional,dashboard_url,source_article_url,source_attachment_url
s218,67,2025-07-04,2025,SPRING,10:00,10:10,10,Монгол Улсын Их Хурлын 2025 оны хаврын ээлжит чуулганы нэгдсэн хуралдааны 07 дугаар сарын 04-ний өдрийн ирцийн мэдээ,6,73,40,3,3,1,2,4,126,False,https://att.parliament.mn/sessions/2025-07-04,https://www.parliament.mn/nn/75289/,
s219,68,2025-07-08,2025,SPRING,,10:00,,Монгол Улсын Их Хурлын 2025 оны хаврын ээлжит чуулганы нэгдсэн хуралдааны 07 дугаар сарын 08-ны өдрийн ирцийн мэдээ,9,59,50,3,6,2,6,0,126,False,https://att.parliament.mn/sessions/2025-07-08,https://www.parliament.mn/nn/75355/,
s220,69,2025-07-09,2025,SPRING,10:00,08:07,-113,Монгол Улсын Их Хурлын 2025 оны хаврын ээлжит чуулганы нэгдсэн хуралдааны 07 дугаар сарын 09-ний өдрийн ирцийн мэдээ,10,70,37,4,6,2,4,3,126,False,https://att.parliament.mn/sessions/2025-07-09,https://www.parliament.mn/nn/75375/,
s126,70,2025-09-15,2025,AUTUMN,10:00,10:02,2,Монгол Улсын Их Хурлын 2025 оны намрын ээлжит чуулганы нэгдсэн хуралдааны 09 дүгээр сарын 15-ны өдрийн ирцийн мэдээ,1,112,6,2,4,0,0,2,126,False,https://att.parliament.mn/sessions/2025-09-15,https://www.parliament.mn/nn/75669/,
s147,71,2025-09-17,2025,AUTUMN,,10:00,,Монгол Улсын Их Хурлын 2025 оны намрын ээлжит чуулганы нэгдсэн хуралдааны 09 дүгээр сарын 17-ны өдрийн ирцийн мэдээ,0,87,27,3,4,0,4,1,126,False,https://att.parliament.mn/sessions/2025-09-17,https://www.parliament.mn/nn/75690/,
s146,72,2025-09-18,2025,AUTUMN,,10:00,,Монгол Улсын Их Хурлын 2025 оны намрын ээлжит чуулганы нэгдсэн хуралдааны 09 дүгээр сарын 18-ны өдрийн ирцийн мэдээ,2,81,31,2,3,2,5,2,126,False,https://att.parliament.mn/sessions/2025-09-18,https://www.parliament.mn/nn/75694/,
s145,73,2025-09-19,2025,AUTUMN,,10:00,,Монгол Улсын Их Хурлын 2025 оны намрын ээлжит чуулганы нэгдсэн хуралдааны 09 дүгээр сарын 19-ний өдрийн ирцийн мэдээ,2,66,41,3,4,5,6,1,126,False,https://att.parliament.mn/sessions/2025-09-19,https://www.parliament.mn/nn/75698/,
s144,74,2025-09-23,2025,AUTUMN,14:00,14:02,2,Монгол Улсын Их Хурлын 2025 оны намрын ээлжит чуулганы нэгдсэн хуралдааны 09 дүгээр сарын 23-ны өдрийн ирцийн мэдээ,2,71,32,3,3,2,11,4,126,False,https://att.parliament.mn/sessions/2025-09-23,https://www.parliament.mn/nn/75711/,
s143,75,2025-09-24,2025,AUTUMN,10:00,10:02,2,Монгол Улсын Их Хурлын 2025 оны намрын ээлжит чуулганы нэгдсэн хуралдааны 09 дүгээр сарын 24-ний өдрийн ирцийн мэдээ,2,70,38,2,3,3,6,4,126,False,https://att.parliament.mn/sessions/2025-09-24,https://www.parliament.mn/nn/75722/,
s142,76,2025-09-26,2025,AUTUMN,10:00,10:02,2,Монгол Улсын Их Хурлын 2025 оны намрын ээлжит чуулганы нэгдсэн хуралдааны 09 дүгээр сарын 26-ны өдрийн ирцийн мэдээ,1,79,24,3,4,7,6,3,126,False,https://att.parliament.mn/sessions/2025-09-26,https://www.parliament.mn/nn/75743/,
s141,77,2025-10-02,2025,AUTUMN,,10:00,,Монгол Улсын Их Хурлын 2025 оны намрын ээлжит чуулганы нэгдсэн хуралдааны 10 дугаар сарын 02-ны өдрийн ирцийн мэдээ,2,74,24,3,3,8,5,9,126,False,https://att.parliament.mn/sessions/2025-10-02,https://www.parliament.mn/nn/75791/,
s148,78,2025-10-09,2025,AUTUMN,10:00,10:03,3,Монгол Улсын Их Хурлын 2025 оны намрын ээлжит чуулганы нэгдсэн хуралдааны 10 дугаар сарын 09-ний өдрийн ирцийн мэдээ,4,80,28,2,5,1,0,10,126,False,https://att.parliament.mn/sessions/2025-10-09,https://www.parliament.mn/nn/75823/,
s140,79,2025-10-16,2025,AUTUMN,10:00,,,Монгол Улсын Их Хурлын 2025 оны намрын ээлжит чуулганы нэгдсэн хуралдааны 10 дугаар сарын 16-ны өдрийн ирцийн мэдээ,3,21,94,0,1,0,3,7,126,False,https://att.parliament.mn/sessions/2025-10-16,https://www.parliament.mn/nn/75895/,
