member_id,ordinal,name_mn,surname_initial_mn,given_name_mn,party_code,party_name_mn,party_name_en,district,district_label_mn,mandate_label_mn,committee_code,committee_name_mn,profile_url,photo_url,is_flagged
m63,63,Н.Учрал,Н,Учрал,MAN,Монгол Ардын Нам,Mongolian People’s Party,10,10-р тойрог,10-р тойрог,tor,Төрийн байгуулалтын байнгын хороо,https://www.parliament.mn/cv/206/,/api/mp-photo/nyam-osoryn-uchral.jpg,False
m64,64,О.Батнайрамдал,О,Батнайрамдал,MAN,Монгол Ардын Нам,Mongolian People’s Party,10,10-р тойрог,10-р тойрог,real,"Хүний хөгжил, нийгмийн бодлогын байнгын хороо",https://www.parliament.mn/cv/320/,/api/mp-photo/otgonsharyn-batnairamdal.jpg,False
m65,65,Ц.Баатархүү,Ц,Баатархүү,AN,Ардчилсан Нам,Democratic Party,10,10-р тойрог,10-р тойрог,real,"Хүний хөгжил, нийгмийн бодлогын байнгын хороо",https://www.parliament.mn/cv/315/,/api/mp-photo/tsendiin-baatarkhuu.jpg,False
m66,66,Н.Батсүмбэрэл,Н,Батсүмбэрэл,MAN,Монгол Ардын Нам,Mongolian People’s Party,10,10-р тойрог,10-р тойрог,real,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",https://www.parliament.mn/cv/321/,/api/mp-photo/natsagdorjiin-batsumberel.jpg,False
m67,67,Д.Цогтбаатар,Д,Цогтбаатар,MAN,Монгол Ардын Нам,Mongolian People’s Party,10,10-р тойрог,10-р тойрог,real,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",https://www.parliament.mn/cv/210/,/api/mp-photo/damdiny-tsogtbaatar.jpg,False
m68,68,Х.Болормаа,Х,Болормаа,AN,Ардчилсан Нам,Democratic Party,10,10-р тойрог,10-р тойрог,real,Төсвийн байнгын хороо,https://www.parliament.mn/cv/329/,/api/mp-photo/khukhkhuugiin-bolormaa.jpg,False
m69,69,Э.Батшугар,Э,Батшугар,MAN,Монгол Ардын Нам,Mongolian People’s Party,11,11-р тойрог,11-р тойрог,hzu,Хууль зүйн байнгын хороо,https://www.parliament.mn/cv/147/,/api/mp-photo/enkhbayaryn-batshugar.jpg,False
m70,70,Н.Алтанхуяг,Н,Алтанхуяг,AN,Ардчилсан Нам,Democratic Party,11,11-р тойрог,11-р тойрог,real,Төсвийн байнгын хороо,https://www.parliament.mn/cv/128/,/api/mp-photo/norovyn-altankhuyag.jpg,False
m71,71,Н.Алтаншагай,Н,Алтаншагай,MAN,Монгол Ардын Нам,Mongolian People’s Party,11,11-р тойрог,11-р тойрог,bay,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",https://www.parliament.mn/cv/309/,/api/mp-photo/narantsetsegiin-altanshagai.jpg,False
m72,72,П.Сайнзориг,П,Сайнзориг,MAN,Монгол Ардын Нам,Mongolian People’s Party,11,11-р тойрог,11-р тойрог,real,Төсвийн байнгын хороо,https://www.parliament.mn/cv/370/,/api/mp-photo/purevjavyn-sainzorig.jpg,False
m73,73,Ч.Номин,Ч,Номин,MAN,Монгол Ардын Нам,Mongolian People’s Party,11,11-р тойрог,11-р тойрог,real,Төсвийн байнгын хороо,https://www.parliament.mn/cv/361/,/api/mp-photo/chinbatyn-nomin.jpg,False
m74,74,Т.Мөнхсайхан,Т,Мөнхсайхан,MAN,Монгол Ардын Нам,Mongolian People’s Party,12,12-р тойрог,12-р тойрог,bay,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",https://www.parliament.mn/cv/353/,/api/mp-photo/togtmolyn-munkhsaikhan.jpg,False
m75,75,Ч.Лодойсамбуу,Ч,Лодойсамбуу,AN,Ардчилсан Нам,Democratic Party,12,12-р тойрог,12-р тойрог,tor,Төрийн байгуулалтын байнгын хороо,https://www.parliament.mn/cv/347/,/api/mp-photo/chuluunbilegiin-lodoisambuu.jpg,False
m76,76,Ж.Алдаржавхлан,Ж,Алдаржавхлан,MAN,Монгол Ардын Нам,Mongolian People’s Party,12,12-р тойрог,12-р тойрог,real,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",https://www.parliament.mn/cv/307/,/api/mp-photo/jukovyn-aldarjavkhlan.jpg,False
m77,77,С.Амарсайхан,С,Амарсайхан,MAN,Монгол Ардын Нам,Mongolian People’s Party,13,13-р тойрог,13-р тойрог,bay,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",https://www.parliament.mn/cv/129/,/api/mp-photo/sainbuyangiin-amarsaikhan.jpg,False
m78,78,Ц.Сандаг-Очир,Ц,Сандаг-Очир,MAN,Монгол Ардын Нам,Mongolian People’s Party,13,13-р тойрог,13-р тойрог,hzu,Хууль зүйн байнгын хороо,https://www.parliament.mn/cv/96/,/api/mp-photo/tsendiin-sandag-ochir.jpg,False
m79,79,Ч.Анар,Ч,Анар,MAN,Монгол Ардын Нам,Mongolian People’s Party,0,Жагсаалт,Жагсаалт №3,real,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",https://www.parliament.mn/cv/312/,/api/mp-photo/chinbaataryn-anar.jpg,False
m80,80,А.Ариунзаяа,А,Ариунзаяа,MAN,Монгол Ардын Нам,Mongolian People’s Party,0,Жагсаалт,Жагсаалт №12,tor,Төрийн байгуулалтын байнгын хороо,https://www.parliament.mn/cv/313/,/api/mp-photo/ayuushiin-ariunzayaa.jpg,False
m81,81,Х.Баасанжаргал,Х,Баасанжаргал,MAN,Монгол Ардын Нам,Mongolian People’s Party,0,Жагсаалт,Жагсаалт №18,real,Өргөдлийн байнгын хороо,https://www.parliament.mn/cv/314/,/api/mp-photo/khurelbaataryn-baasanjargal.jpg,False
m82,82,Б.Батбаатар,Б,Батбаатар,IZ,Иргэний Зориг Ногоон Нам,Civil Will–Green Party,0,Жагсаалт,Жагсаалт №1,tor,Төрийн байгуулалтын байнгын хороо,https://www.parliament.mn/cv/317/,/api/mp-photo/batyn-batbaatar.jpg,False
m83,83,Р.Батболд,Р,Батболд,IZ,Иргэний Зориг Ногоон Нам,Civil Will–Green Party,0,Жагсаалт,Жагсаалт №3,real,Төсвийн байнгын хороо,https://www.parliament.mn/cv/319/,/api/mp-photo/rinchindorjiin-batbold.jpg,False
m84,84,Ж.Батсуурь,Ж,Батсуурь,AN,Ардчилсан Нам,Democratic Party,0,Жагсаалт,Жагсаалт №3,real,Өргөдлийн байнгын хороо,https://www.parliament.mn/cv/103/,/api/mp-photo/jambyn-batsuur.jpg,False
m85,85,П.Батчимэг,П,Батчимэг,AN,Ардчилсан Нам,Democratic Party,0,Жагсаалт,Жагсаалт №12,bay,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",https://www.parliament.mn/cv/324/,/api/mp-photo/pureviin-batchimeg.jpg,False
m86,86,Б.Баярбаатар,Б,Баярбаатар,MAN,Монгол Ардын Нам,Mongolian People’s Party,0,Жагсаалт,Жагсаалт №13,tor,Төрийн байгуулалтын байнгын хороо,https://www.parliament.mn/cv/326/,/api/mp-photo/bayarmagnain-bayarbaatar.jpg,False
m87,87,Ж.Баярмаа,Ж,Баярмаа,AN,Ардчилсан Нам,Democratic Party,0,Жагсаалт,Жагсаалт №6,tor,Төрийн байгуулалтын байнгын хороо,https://www.parliament.mn/cv/327/,/api/mp-photo/judagiin-bayarmaa.jpg,False
m88,88,Ж.Баясгалан,Ж,Баясгалан,AN,Ардчилсан Нам,Democratic Party,0,Жагсаалт,Жагсаалт №7,real,Төсвийн байнгын хороо,https://www.parliament.mn/cv/328/,/api/mp-photo/jadambaagiin-bayasgalan.jpg,False
m89,89,Д.Бум-Очир,Д,Бум-Очир,MAN,Монгол Ардын Нам,Mongolian People’s Party,0,Жагсаалт,Жагсаалт №15,real,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",https://www.parliament.mn/cv/331/,/api/mp-photo/dulamyn-bum-ochir.jpg,False
m90,90,Ж.Галбадрах,Ж,Галбадрах,MAN,Монгол Ардын Нам,Mongolian People’s Party,0,Жагсаалт,Жагсаалт №11,real,Өргөдлийн байнгын хороо,https://www.parliament.mn/cv/333/,/api/mp-photo/janchivyn-galbadrakh.jpg,False
m91,91,А.Ганбаатар,А,Ганбаатар,AN,Ардчилсан Нам,Democratic Party,0,Жагсаалт,Жагсаалт №15,tor,Төрийн байгуулалтын байнгын хороо,https://www.parliament.mn/cv/334/,/api/mp-photo/amgalanbaataryn-ganbaatar.jpg,False
m92,92,П.Ганзориг,П,Ганзориг,HUN,ХҮН Нам,HUN Party,0,Жагсаалт,Жагсаалт №3,real,Төсвийн байнгын хороо,https://www.parliament.mn/cv/336/,/api/mp-photo/purevjavyn-ganzorig.jpg,False
m93,93,Д.Ганмаа,Д,Ганмаа,MAN,Монгол Ардын Нам,Mongolian People’s Party,0,Жагсаалт,Жагсаалт №6,real,Өргөдлийн байнгын хороо,https://www.parliament.mn/cv/337/,/api/mp-photo/davaasambuugiin-ganmaa.jpg,False
m94,94,Л.Гантөмөр,Л,Гантөмөр,AN,Ардчилсан Нам,Democratic Party,0,Жагсаалт,Жагсаалт №1,real,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",https://www.parliament.mn/cv/338/,/api/mp-photo/luvsannyamyn-gantumur.jpg,False
m95,95,Т.Доржханд,Т,Доржханд,HUN,ХҮН Нам,HUN Party,0,Жагсаалт,Жагсаалт №1,tor,Төрийн байгуулалтын байнгын хороо,https://www.parliament.mn/cv/90/,/api/mp-photo/togmidyn-dorjkhand.jpg,False
m96,96,Б.Жаргалан,Б,Жаргалан,AN,Ардчилсан Нам,Democratic Party,0,Жагсаалт,Жагсаалт №14,real,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",https://www.parliament.mn/cv/341/,/api/mp-photo/batbayaryn-jargalan.jpg,False
m97,97,С.Замира,С,Замира,IZ,Иргэний Зориг Ногоон Нам,Civil Will–Green Party,0,Жагсаалт,Жагсаалт №4,bay,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",https://www.parliament.mn/cv/343/,/api/mp-photo/songobain-zamira.jpg,False
m98,98,С.Зулпхар,С,Зулпхар,MAN,Монгол Ардын Нам,Mongolian People’s Party,0,Жагсаалт,Жагсаалт №17,tor,Төрийн байгуулалтын байнгын хороо,https://www.parliament.mn/cv/346/,/api/mp-photo/sarkhadyn-zulpkhar.jpg,False
