Types,Region,Year,value
Mechanisms, Ulaanbaatar,1941,
Mechanisms, Ulaanbaatar,1940,
Mechanisms,  Ulaanbaatar,2025,16315.0
Mechanisms,  Ulaanbaatar,2024,15026.0
Mechanisms,  Ulaanbaatar,2023,11946.0
Mechanisms,  Ulaanbaatar,2022,12705.0
Mechanisms,  Ulaanbaatar,2021,12000.0
Mechanisms,  Ulaanbaatar,2020,10988.0
Mechanisms,  Ulaanbaatar,2019,10120.0
Mechanisms,  Ulaanbaatar,2018,9410.0
Mechanisms,  Ulaanbaatar,2017,8599.0
Mechanisms,  Ulaanbaatar,2016,8200.0
Mechanisms,  Ulaanbaatar,2015,7748.0
Mechanisms,  Ulaanbaatar,2014,7418.0
Mechanisms,  Ulaanbaatar,2013,6878.0
Mechanisms,  Ulaanbaatar,2012,6007.0
Mechanisms,  Ulaanbaatar,1957,
Mechanisms,  Ulaanbaatar,1956,
Mechanisms,  Ulaanbaatar,1955,
Mechanisms,  Ulaanbaatar,1954,
Mechanisms,  Ulaanbaatar,1953,
Mechanisms,  Ulaanbaatar,1952,
Mechanisms,  Ulaanbaatar,1951,
Mechanisms,  Ulaanbaatar,1950,
Mechanisms,  Ulaanbaatar,1949,
Mechanisms,  Ulaanbaatar,1948,
Mechanisms,  Ulaanbaatar,1947,
Mechanisms,  Ulaanbaatar,1946,
Mechanisms,  Ulaanbaatar,1945,
Mechanisms,  Ulaanbaatar,1944,
Mechanisms,  Ulaanbaatar,1943,
Mechanisms,  Ulaanbaatar,1942,
Mechanisms,  Ulaanbaatar,1941,
Mechanisms,  Ulaanbaatar,1940,
Trailer,Total,2025,82325.0
Trailer,Total,2024,80433.0
Trailer,Total,2023,73055.0
Trailer,Total,2022,64169.0
Trailer,Total,2021,52997.0
Trailer,Total,2020,40616.0
Trailer,Total,2019,47972.0
Trailer,Total,2018,31043.0
Trailer,Total,2017,25596.0
Trailer,Total,2016,22169.0
Trailer,Total,2015,21039.0
Trailer,Total,2014,21059.0
Trailer,Total,2013,20369.0
Trailer,Total,2012,19435.0
Trailer,Total,1957,
Trailer,Total,1956,
Trailer,Total,1955,
Trailer,Total,1954,
Trailer,Total,1953,
Trailer,Total,1952,
Trailer,Total,1951,
Trailer,Total,1950,
Trailer,Total,1949,
Trailer,Total,1948,
Trailer,Total,1947,
Trailer,Total,1946,
Trailer,Total,1945,
Trailer,Total,1944,
Trailer,Total,1943,
Trailer,Total,1942,
Trailer,Total,1941,
Trailer,Total,1940,
Trailer, Western region,2025,4075.0
Trailer, Western region,2024,3416.0
Trailer, Western region,2023,2402.0
Trailer, Western region,2022,2104.0
Trailer, Western region,2021,1821.0
Trailer, Western region,2020,1607.0
Trailer, Western region,2019,4066.0
Trailer, Western region,2018,1240.0
Trailer, Western region,2017,923.0
Trailer, Western region,2016,809.0
Trailer, Western region,2015,787.0
Trailer, Western region,2014,742.0
Trailer, Western region,2013,655.0
Trailer, Western region,2012,490.0
Trailer, Western region,1957,
Trailer, Western region,1956,
Trailer, Western region,1955,
Trailer, Western region,1954,
Trailer, Western region,1953,
Trailer, Western region,1952,
Trailer, Western region,1951,
Trailer, Western region,1950,
Trailer, Western region,1949,
Trailer, Western region,1948,
Trailer, Western region,1947,
Trailer, Western region,1946,
Trailer, Western region,1945,
Trailer, Western region,1944,
Trailer, Western region,1943,
Trailer, Western region,1942,
Trailer, Western region,1941,
Trailer, Western region,1940,
Trailer, Bayan-Ulgii,2025,500.0
Trailer, Bayan-Ulgii,2024,382.0
Trailer, Bayan-Ulgii,2023,308.0
Trailer, Bayan-Ulgii,2022,297.0
Trailer, Bayan-Ulgii,2021,223.0
Trailer, Bayan-Ulgii,2020,180.0
Trailer, Bayan-Ulgii,2019,189.0
Trailer, Bayan-Ulgii,2018,126.0
Trailer, Bayan-Ulgii,2017,107.0
Trailer, Bayan-Ulgii,2016,110.0
Trailer, Bayan-Ulgii,2015,126.0
Trailer, Bayan-Ulgii,2014,122.0
Trailer, Bayan-Ulgii,2013,117.0
Trailer, Bayan-Ulgii,2012,116.0
Trailer, Bayan-Ulgii,1957,
Trailer, Bayan-Ulgii,1956,
Trailer, Bayan-Ulgii,1955,
Trailer, Bayan-Ulgii,1954,
Trailer, Bayan-Ulgii,1953,
Trailer, Bayan-Ulgii,1952,
Trailer, Bayan-Ulgii,1951,
Trailer, Bayan-Ulgii,1950,
Trailer, Bayan-Ulgii,1949,
Trailer, Bayan-Ulgii,1948,
Trailer, Bayan-Ulgii,1947,
Trailer, Bayan-Ulgii,1946,
Trailer, Bayan-Ulgii,1945,
Trailer, Bayan-Ulgii,1944,
Trailer, Bayan-Ulgii,1943,
Trailer, Bayan-Ulgii,1942,
Trailer, Bayan-Ulgii,1941,
Trailer, Bayan-Ulgii,1940,
Trailer, Govi-Altai,2025,182.0
Trailer, Govi-Altai,2024,142.0
Trailer, Govi-Altai,2023,111.0
Trailer, Govi-Altai,2022,119.0
Trailer, Govi-Altai,2021,126.0
Trailer, Govi-Altai,2020,110.0
Trailer, Govi-Altai,2019,193.0
Trailer, Govi-Altai,2018,95.0
Trailer, Govi-Altai,2017,82.0
Trailer, Govi-Altai,2016,69.0
Trailer, Govi-Altai,2015,65.0
Trailer, Govi-Altai,2014,58.0
Trailer, Govi-Altai,2013,47.0
Trailer, Govi-Altai,2012,43.0
Trailer, Govi-Altai,1957,
Trailer, Govi-Altai,1956,
Trailer, Govi-Altai,1955,
Trailer, Govi-Altai,1954,
Trailer, Govi-Altai,1953,
Trailer, Govi-Altai,1952,
Trailer, Govi-Altai,1951,
Trailer, Govi-Altai,1950,
Trailer, Govi-Altai,1949,
Trailer, Govi-Altai,1948,
Trailer, Govi-Altai,1947,
Trailer, Govi-Altai,1946,
Trailer, Govi-Altai,1945,
Trailer, Govi-Altai,1944,
Trailer, Govi-Altai,1943,
Trailer, Govi-Altai,1942,
Trailer, Govi-Altai,1941,
Trailer, Govi-Altai,1940,
Trailer, Zavkhan,2025,248.0
Trailer, Zavkhan,2024,196.0
Trailer, Zavkhan,2023,151.0
Trailer, Zavkhan,2022,154.0
Trailer, Zavkhan,2021,152.0
Trailer, Zavkhan,2020,131.0
Trailer, Zavkhan,2019,970.0
Trailer, Zavkhan,2018,100.0
Trailer, Zavkhan,2017,84.0
Trailer, Zavkhan,2016,82.0
Trailer, Zavkhan,2015,76.0
Trailer, Zavkhan,2014,71.0
Trailer, Zavkhan,2013,71.0
Trailer, Zavkhan,2012,70.0
Trailer, Zavkhan,1957,
Trailer, Zavkhan,1956,
Trailer, Zavkhan,1955,
Trailer, Zavkhan,1954,
Trailer, Zavkhan,1953,
Trailer, Zavkhan,1952,
Trailer, Zavkhan,1951,
Trailer, Zavkhan,1950,
Trailer, Zavkhan,1949,
Trailer, Zavkhan,1948,
Trailer, Zavkhan,1947,
Trailer, Zavkhan,1946,
Trailer, Zavkhan,1945,
Trailer, Zavkhan,1944,
Trailer, Zavkhan,1943,
Trailer, Zavkhan,1942,
Trailer, Zavkhan,1941,
Trailer, Zavkhan,1940,
Trailer, Uvs,2025,312.0
Trailer, Uvs,2024,258.0
Trailer, Uvs,2023,182.0
Trailer, Uvs,2022,173.0
Trailer, Uvs,2021,185.0
Trailer, Uvs,2020,182.0
Trailer, Uvs,2019,1282.0
Trailer, Uvs,2018,131.0
Trailer, Uvs,2017,113.0
Trailer, Uvs,2016,112.0
Trailer, Uvs,2015,103.0
Trailer, Uvs,2014,86.0
Trailer, Uvs,2013,56.0
Trailer, Uvs,2012,52.0
Trailer, Uvs,1957,
Trailer, Uvs,1956,
Trailer, Uvs,1955,
Trailer, Uvs,1954,
Trailer, Uvs,1953,
Trailer, Uvs,1952,
Trailer, Uvs,1951,
Trailer, Uvs,1950,
Trailer, Uvs,1949,
Trailer, Uvs,1948,
Trailer, Uvs,1947,
Trailer, Uvs,1946,
Trailer, Uvs,1945,
Trailer, Uvs,1944,
Trailer, Uvs,1943,
Trailer, Uvs,1942,
Trailer, Uvs,1941,
Trailer, Uvs,1940,
Trailer, Khovd,2025,2833.0
Trailer, Khovd,2024,2438.0
Trailer, Khovd,2023,1650.0
Trailer, Khovd,2022,1361.0
Trailer, Khovd,2021,1135.0
Trailer, Khovd,2020,1004.0
Trailer, Khovd,2019,1432.0
Trailer, Khovd,2018,788.0
Trailer, Khovd,2017,537.0
Trailer, Khovd,2016,436.0
Trailer, Khovd,2015,417.0
Trailer, Khovd,2014,405.0
Trailer, Khovd,2013,364.0
Trailer, Khovd,2012,209.0
Trailer, Khovd,1957,
Trailer, Khovd,1956,
Trailer, Khovd,1955,
Trailer, Khovd,1954,
Trailer, Khovd,1953,
Trailer, Khovd,1952,
Trailer, Khovd,1951,
Trailer, Khovd,1950,
Trailer, Khovd,1949,
Trailer, Khovd,1948,
Trailer, Khovd,1947,
Trailer, Khovd,1946,
Trailer, Khovd,1945,
Trailer, Khovd,1944,
Trailer, Khovd,1943,
Trailer, Khovd,1942,
Trailer, Khovd,1941,
Trailer, Khovd,1940,
Trailer, Khangai region,2025,2786.0
Trailer, Khangai region,2024,2030.0
Trailer, Khangai region,2023,1799.0
Trailer, Khangai region,2022,1577.0
Trailer, Khangai region,2021,1701.0
Trailer, Khangai region,2020,1513.0
Trailer, Khangai region,2019,5379.0
Trailer, Khangai region,2018,1073.0
Trailer, Khangai region,2017,919.0
Trailer, Khangai region,2016,813.0
Trailer, Khangai region,2015,734.0
Trailer, Khangai region,2014,672.0
Trailer, Khangai region,2013,659.0
Trailer, Khangai region,2012,580.0
Trailer, Khangai region,1957,
Trailer, Khangai region,1956,
Trailer, Khangai region,1955,
Trailer, Khangai region,1954,
Trailer, Khangai region,1953,
Trailer, Khangai region,1952,
Trailer, Khangai region,1951,
Trailer, Khangai region,1950,
Trailer, Khangai region,1949,
Trailer, Khangai region,1948,
Trailer, Khangai region,1947,
Trailer, Khangai region,1946,
Trailer, Khangai region,1945,
Trailer, Khangai region,1944,
Trailer, Khangai region,1943,
Trailer, Khangai region,1942,
Trailer, Khangai region,1941,
Trailer, Khangai region,1940,
Trailer, Arkhangai,2025,201.0
Trailer, Arkhangai,2024,161.0
Trailer, Arkhangai,2023,198.0
Trailer, Arkhangai,2022,154.0
Trailer, Arkhangai,2021,184.0
Trailer, Arkhangai,2020,161.0
Trailer, Arkhangai,2019,250.0
Trailer, Arkhangai,2018,129.0
Trailer, Arkhangai,2017,120.0
Trailer, Arkhangai,2016,113.0
Trailer, Arkhangai,2015,107.0
Trailer, Arkhangai,2014,102.0
Trailer, Arkhangai,2013,104.0
Trailer, Arkhangai,2012,114.0
Trailer, Arkhangai,1957,
Trailer, Arkhangai,1956,
Trailer, Arkhangai,1955,
Trailer, Arkhangai,1954,
Trailer, Arkhangai,1953,
Trailer, Arkhangai,1952,
Trailer, Arkhangai,1951,
Trailer, Arkhangai,1950,
Trailer, Arkhangai,1949,
Trailer, Arkhangai,1948,
Trailer, Arkhangai,1947,
Trailer, Arkhangai,1946,
Trailer, Arkhangai,1945,
Trailer, Arkhangai,1944,
Trailer, Arkhangai,1943,
Trailer, Arkhangai,1942,
Trailer, Arkhangai,1941,
Trailer, Arkhangai,1940,
Trailer, Bayankhongor,2025,286.0
Trailer, Bayankhongor,2024,259.0
Trailer, Bayankhongor,2023,177.0
Trailer, Bayankhongor,2022,183.0
Trailer, Bayankhongor,2021,203.0
Trailer, Bayankhongor,2020,200.0
Trailer, Bayankhongor,2019,578.0
Trailer, Bayankhongor,2018,131.0
Trailer, Bayankhongor,2017,112.0
Trailer, Bayankhongor,2016,102.0
Trailer, Bayankhongor,2015,87.0
Trailer, Bayankhongor,2014,81.0
Trailer, Bayankhongor,2013,76.0
Trailer, Bayankhongor,2012,68.0
Trailer, Bayankhongor,1957,
Trailer, Bayankhongor,1956,
Trailer, Bayankhongor,1955,
Trailer, Bayankhongor,1954,
Trailer, Bayankhongor,1953,
Trailer, Bayankhongor,1952,
Trailer, Bayankhongor,1951,
Trailer, Bayankhongor,1950,
Trailer, Bayankhongor,1949,
Trailer, Bayankhongor,1948,
Trailer, Bayankhongor,1947,
Trailer, Bayankhongor,1946,
Trailer, Bayankhongor,1945,
Trailer, Bayankhongor,1944,
Trailer, Bayankhongor,1943,
Trailer, Bayankhongor,1942,
Trailer, Bayankhongor,1941,
Trailer, Bayankhongor,1940,
Trailer, Bulgan,2025,143.0
Trailer, Bulgan,2024,117.0
Trailer, Bulgan,2023,92.0
Trailer, Bulgan,2022,122.0
Trailer, Bulgan,2021,152.0
Trailer, Bulgan,2020,137.0
Trailer, Bulgan,2019,1663.0
Trailer, Bulgan,2018,118.0
Trailer, Bulgan,2017,107.0
Trailer, Bulgan,2016,105.0
Trailer, Bulgan,2015,97.0
Trailer, Bulgan,2014,95.0
Trailer, Bulgan,2013,89.0
Trailer, Bulgan,2012,85.0
Trailer, Bulgan,1957,
Trailer, Bulgan,1956,
Trailer, Bulgan,1955,
Trailer, Bulgan,1954,
Trailer, Bulgan,1953,
Trailer, Bulgan,1952,
Trailer, Bulgan,1951,
Trailer, Bulgan,1950,
Trailer, Bulgan,1949,
Trailer, Bulgan,1948,
Trailer, Bulgan,1947,
Trailer, Bulgan,1946,
Trailer, Bulgan,1945,
Trailer, Bulgan,1944,
Trailer, Bulgan,1943,
Trailer, Bulgan,1942,
Trailer, Bulgan,1941,
Trailer, Bulgan,1940,
Trailer, Orkhon,2025,418.0
Trailer, Orkhon,2024,358.0
Trailer, Orkhon,2023,306.0
Trailer, Orkhon,2022,279.0
Trailer, Orkhon,2021,304.0
Trailer, Orkhon,2020,269.0
Trailer, Orkhon,2019,327.0
Trailer, Orkhon,2018,209.0
Trailer, Orkhon,2017,187.0
Trailer, Orkhon,2016,171.0
Trailer, Orkhon,2015,158.0
Trailer, Orkhon,2014,135.0
Trailer, Orkhon,2013,169.0
Trailer, Orkhon,2012,122.0
Trailer, Orkhon,1957,
Trailer, Orkhon,1956,
Trailer, Orkhon,1955,
Trailer, Orkhon,1954,
Trailer, Orkhon,1953,
Trailer, Orkhon,1952,
Trailer, Orkhon,1951,
Trailer, Orkhon,1950,
Trailer, Orkhon,1949,
Trailer, Orkhon,1948,
Trailer, Orkhon,1947,
Trailer, Orkhon,1946,
Trailer, Orkhon,1945,
Trailer, Orkhon,1944,
Trailer, Orkhon,1943,
Trailer, Orkhon,1942,
Trailer, Orkhon,1941,
Trailer, Orkhon,1940,
Trailer, Uvurkhangai,2025,865.0
Trailer, Uvurkhangai,2024,703.0
Trailer, Uvurkhangai,2023,645.0
Trailer, Uvurkhangai,2022,501.0
Trailer, Uvurkhangai,2021,495.0
Trailer, Uvurkhangai,2020,431.0
Trailer, Uvurkhangai,2019,859.0
Trailer, Uvurkhangai,2018,267.0
Trailer, Uvurkhangai,2017,207.0
Trailer, Uvurkhangai,2016,176.0
Trailer, Uvurkhangai,2015,152.0
Trailer, Uvurkhangai,2014,134.0
Trailer, Uvurkhangai,2013,115.0
Trailer, Uvurkhangai,2012,97.0
Trailer, Uvurkhangai,1957,
Trailer, Uvurkhangai,1956,
Trailer, Uvurkhangai,1955,
Trailer, Uvurkhangai,1954,
Trailer, Uvurkhangai,1953,
Trailer, Uvurkhangai,1952,
Trailer, Uvurkhangai,1951,
Trailer, Uvurkhangai,1950,
Trailer, Uvurkhangai,1949,
Trailer, Uvurkhangai,1948,
Trailer, Uvurkhangai,1947,
Trailer, Uvurkhangai,1946,
Trailer, Uvurkhangai,1945,
Trailer, Uvurkhangai,1944,
Trailer, Uvurkhangai,1943,
Trailer, Uvurkhangai,1942,
Trailer, Uvurkhangai,1941,
Trailer, Uvurkhangai,1940,
Trailer, Khuvsgul,2025,873.0
Trailer, Khuvsgul,2024,432.0
Trailer, Khuvsgul,2023,381.0
Trailer, Khuvsgul,2022,338.0
Trailer, Khuvsgul,2021,363.0
Trailer, Khuvsgul,2020,315.0
Trailer, Khuvsgul,2019,1702.0
Trailer, Khuvsgul,2018,219.0
Trailer, Khuvsgul,2017,186.0
Trailer, Khuvsgul,2016,146.0
Trailer, Khuvsgul,2015,133.0
Trailer, Khuvsgul,2014,125.0
Trailer, Khuvsgul,2013,106.0
Trailer, Khuvsgul,2012,94.0
Trailer, Khuvsgul,1957,
Trailer, Khuvsgul,1956,
Trailer, Khuvsgul,1955,
Trailer, Khuvsgul,1954,
Trailer, Khuvsgul,1953,
Trailer, Khuvsgul,1952,
Trailer, Khuvsgul,1951,
Trailer, Khuvsgul,1950,
Trailer, Khuvsgul,1949,
Trailer, Khuvsgul,1948,
Trailer, Khuvsgul,1947,
Trailer, Khuvsgul,1946,
Trailer, Khuvsgul,1945,
Trailer, Khuvsgul,1944,
Trailer, Khuvsgul,1943,
Trailer, Khuvsgul,1942,
Trailer, Khuvsgul,1941,
Trailer, Khuvsgul,1940,
Trailer, Central region,2025,32275.0
Trailer, Central region,2024,27796.0
Trailer, Central region,2023,27202.0
Trailer, Central region,2022,25062.0
Trailer, Central region,2021,21272.0
Trailer, Central region,2020,14269.0
Trailer, Central region,2019,13303.0
Trailer, Central region,2018,9378.0
Trailer, Central region,2017,7768.0
Trailer, Central region,2016,6116.0
Trailer, Central region,2015,5238.0
Trailer, Central region,2014,5167.0
Trailer, Central region,2013,4931.0
Trailer, Central region,2012,4675.0
Trailer, Central region,1957,
Trailer, Central region,1956,
Trailer, Central region,1955,
Trailer, Central region,1954,
Trailer, Central region,1953,
Trailer, Central region,1952,
Trailer, Central region,1951,
Trailer, Central region,1950,
Trailer, Central region,1949,
Trailer, Central region,1948,
Trailer, Central region,1947,
Trailer, Central region,1946,
Trailer, Central region,1945,
Trailer, Central region,1944,
Trailer, Central region,1943,
Trailer, Central region,1942,
Trailer, Central region,1941,
Trailer, Central region,1940,
Trailer, Govisumber,2025,169.0
Trailer, Govisumber,2024,160.0
Trailer, Govisumber,2023,108.0
Trailer, Govisumber,2022,103.0
Trailer, Govisumber,2021,100.0
Trailer, Govisumber,2020,88.0
Trailer, Govisumber,2019,123.0
Trailer, Govisumber,2018,95.0
Trailer, Govisumber,2017,76.0
Trailer, Govisumber,2016,72.0
Trailer, Govisumber,2015,53.0
Trailer, Govisumber,2014,45.0
Trailer, Govisumber,2013,49.0
Trailer, Govisumber,2012,46.0
Trailer, Govisumber,1957,
Trailer, Govisumber,1956,
Trailer, Govisumber,1955,
Trailer, Govisumber,1954,
Trailer, Govisumber,1953,
Trailer, Govisumber,1952,
Trailer, Govisumber,1951,
Trailer, Govisumber,1950,
Trailer, Govisumber,1949,
Trailer, Govisumber,1948,
Trailer, Govisumber,1947,
Trailer, Govisumber,1946,
Trailer, Govisumber,1945,
Trailer, Govisumber,1944,
Trailer, Govisumber,1943,
Trailer, Govisumber,1942,
Trailer, Govisumber,1941,
Trailer, Govisumber,1940,
Trailer, Darkhan-Uul,2025,486.0
Trailer, Darkhan-Uul,2024,397.0
Trailer, Darkhan-Uul,2023,358.0
Trailer, Darkhan-Uul,2022,368.0
Trailer, Darkhan-Uul,2021,349.0
Trailer, Darkhan-Uul,2020,312.0
Trailer, Darkhan-Uul,2019,478.0
Trailer, Darkhan-Uul,2018,268.0
Trailer, Darkhan-Uul,2017,232.0
Trailer, Darkhan-Uul,2016,218.0
Trailer, Darkhan-Uul,2015,218.0
Trailer, Darkhan-Uul,2014,202.0
Trailer, Darkhan-Uul,2013,178.0
Trailer, Darkhan-Uul,2012,165.0
Trailer, Darkhan-Uul,1957,
Trailer, Darkhan-Uul,1956,
Trailer, Darkhan-Uul,1955,
Trailer, Darkhan-Uul,1954,
Trailer, Darkhan-Uul,1953,
Trailer, Darkhan-Uul,1952,
Trailer, Darkhan-Uul,1951,
Trailer, Darkhan-Uul,1950,
Trailer, Darkhan-Uul,1949,
Trailer, Darkhan-Uul,1948,
Trailer, Darkhan-Uul,1947,
Trailer, Darkhan-Uul,1946,
Trailer, Darkhan-Uul,1945,
Trailer, Darkhan-Uul,1944,
Trailer, Darkhan-Uul,1943,
Trailer, Darkhan-Uul,1942,
Trailer, Darkhan-Uul,1941,
Trailer, Darkhan-Uul,1940,
Trailer, Dornogovi,2025,4457.0
Trailer, Dornogovi,2024,4305.0
Trailer, Dornogovi,2023,3422.0
Trailer, Dornogovi,2022,3200.0
Trailer, Dornogovi,2021,2967.0
Trailer, Dornogovi,2020,1426.0
Trailer, Dornogovi,2019,1475.0
Trailer, Dornogovi,2018,1011.0
Trailer, Dornogovi,2017,1005.0
Trailer, Dornogovi,2016,1165.0
Trailer, Dornogovi,2015,1221.0
Trailer, Dornogovi,2014,1245.0
Trailer, Dornogovi,2013,1305.0
Trailer, Dornogovi,2012,1156.0
Trailer, Dornogovi,1957,
Trailer, Dornogovi,1956,
Trailer, Dornogovi,1955,
Trailer, Dornogovi,1954,
Trailer, Dornogovi,1953,
Trailer, Dornogovi,1952,
Trailer, Dornogovi,1951,
Trailer, Dornogovi,1950,
Trailer, Dornogovi,1949,
Trailer, Dornogovi,1948,
Trailer, Dornogovi,1947,
Trailer, Dornogovi,1946,
Trailer, Dornogovi,1945,
Trailer, Dornogovi,1944,
Trailer, Dornogovi,1943,
Trailer, Dornogovi,1942,
Trailer, Dornogovi,1941,
Trailer, Dornogovi,1940,
Trailer, Dundgovi,2025,644.0
Trailer, Dundgovi,2024,69.0
Trailer, Dundgovi,2023,57.0
Trailer, Dundgovi,2022,53.0
Trailer, Dundgovi,2021,64.0
Trailer, Dundgovi,2020,57.0
Trailer, Dundgovi,2019,970.0
Trailer, Dundgovi,2018,56.0
Trailer, Dundgovi,2017,51.0
Trailer, Dundgovi,2016,61.0
Trailer, Dundgovi,2015,71.0
Trailer, Dundgovi,2014,76.0
Trailer, Dundgovi,2013,42.0
Trailer, Dundgovi,2012,40.0
Trailer, Dundgovi,1957,
Trailer, Dundgovi,1956,
Trailer, Dundgovi,1955,
Trailer, Dundgovi,1954,
Trailer, Dundgovi,1953,
Trailer, Dundgovi,1952,
Trailer, Dundgovi,1951,
Trailer, Dundgovi,1950,
Trailer, Dundgovi,1949,
Trailer, Dundgovi,1948,
Trailer, Dundgovi,1947,
Trailer, Dundgovi,1946,
Trailer, Dundgovi,1945,
Trailer, Dundgovi,1944,
Trailer, Dundgovi,1943,
Trailer, Dundgovi,1942,
Trailer, Dundgovi,1941,
Trailer, Dundgovi,1940,
Trailer, Umnugovi,2025,25606.0
Trailer, Umnugovi,2024,22106.0
Trailer, Umnugovi,2023,22560.0
Trailer, Umnugovi,2022,20585.0
Trailer, Umnugovi,2021,17081.0
Trailer, Umnugovi,2020,11735.0
Trailer, Umnugovi,2019,8328.0
Trailer, Umnugovi,2018,7351.0
Trailer, Umnugovi,2017,5878.0
Trailer, Umnugovi,2016,4103.0
Trailer, Umnugovi,2015,3208.0
Trailer, Umnugovi,2014,3157.0
Trailer, Umnugovi,2013,2900.0
Trailer, Umnugovi,2012,2849.0
Trailer, Umnugovi,1957,
Trailer, Umnugovi,1956,
Trailer, Umnugovi,1955,
Trailer, Umnugovi,1954,
Trailer, Umnugovi,1953,
Trailer, Umnugovi,1952,
Trailer, Umnugovi,1951,
Trailer, Umnugovi,1950,
Trailer, Umnugovi,1949,
Trailer, Umnugovi,1948,
Trailer, Umnugovi,1947,
Trailer, Umnugovi,1946,
Trailer, Umnugovi,1945,
Trailer, Umnugovi,1944,
Trailer, Umnugovi,1943,
Trailer, Umnugovi,1942,
Trailer, Umnugovi,1941,
Trailer, Umnugovi,1940,
Trailer, Selenge,2025,613.0
Trailer, Selenge,2024,561.0
Trailer, Selenge,2023,539.0
Trailer, Selenge,2022,527.0
Trailer, Selenge,2021,482.0
Trailer, Selenge,2020,455.0
Trailer, Selenge,2019,595.0
Trailer, Selenge,2018,405.0
Trailer, Selenge,2017,340.0
Trailer, Selenge,2016,327.0
Trailer, Selenge,2015,306.0
Trailer, Selenge,2014,291.0
Trailer, Selenge,2013,311.0
Trailer, Selenge,2012,264.0
Trailer, Selenge,1957,
Trailer, Selenge,1956,
Trailer, Selenge,1955,
Trailer, Selenge,1954,
Trailer, Selenge,1953,
Trailer, Selenge,1952,
Trailer, Selenge,1951,
Trailer, Selenge,1950,
Trailer, Selenge,1949,
Trailer, Selenge,1948,
Trailer, Selenge,1947,
Trailer, Selenge,1946,
Trailer, Selenge,1945,
Trailer, Selenge,1944,
Trailer, Selenge,1943,
Trailer, Selenge,1942,
Trailer, Selenge,1941,
Trailer, Selenge,1940,
Trailer, Tuv,2025,300.0
Trailer, Tuv,2024,198.0
Trailer, Tuv,2023,158.0
Trailer, Tuv,2022,226.0
Trailer, Tuv,2021,229.0
Trailer, Tuv,2020,196.0
Trailer, Tuv,2019,1334.0
Trailer, Tuv,2018,192.0
Trailer, Tuv,2017,186.0
Trailer, Tuv,2016,170.0
Trailer, Tuv,2015,161.0
Trailer, Tuv,2014,151.0
Trailer, Tuv,2013,146.0
Trailer, Tuv,2012,155.0
Trailer, Tuv,1957,
Trailer, Tuv,1956,
Trailer, Tuv,1955,
Trailer, Tuv,1954,
Trailer, Tuv,1953,
Trailer, Tuv,1952,
Trailer, Tuv,1951,
Trailer, Tuv,1950,
Trailer, Tuv,1949,
Trailer, Tuv,1948,
Trailer, Tuv,1947,
Trailer, Tuv,1946,
Trailer, Tuv,1945,
Trailer, Tuv,1944,
Trailer, Tuv,1943,
Trailer, Tuv,1942,
Trailer, Tuv,1941,
Trailer, Tuv,1940,
Trailer, Eastern region,2025,3076.0
Trailer, Eastern region,2024,2184.0
Trailer, Eastern region,2023,1574.0
Trailer, Eastern region,2022,888.0
Trailer, Eastern region,2021,877.0
Trailer, Eastern region,2020,775.0
Trailer, Eastern region,2019,2265.0
Trailer, Eastern region,2018,618.0
Trailer, Eastern region,2017,527.0
Trailer, Eastern region,2016,484.0
Trailer, Eastern region,2015,445.0
Trailer, Eastern region,2014,385.0
Trailer, Eastern region,2013,341.0
Trailer, Eastern region,2012,316.0
Trailer, Eastern region,1957,
Trailer, Eastern region,1956,
Trailer, Eastern region,1955,
Trailer, Eastern region,1954,
Trailer, Eastern region,1953,
Trailer, Eastern region,1952,
Trailer, Eastern region,1951,
Trailer, Eastern region,1950,
Trailer, Eastern region,1949,
Trailer, Eastern region,1948,
Trailer, Eastern region,1947,
Trailer, Eastern region,1946,
Trailer, Eastern region,1945,
Trailer, Eastern region,1944,
Trailer, Eastern region,1943,
Trailer, Eastern region,1942,
Trailer, Eastern region,1941,
Trailer, Eastern region,1940,
Trailer, Dornod,2025,751.0
Trailer, Dornod,2024,542.0
Trailer, Dornod,2023,419.0
Trailer, Dornod,2022,311.0
Trailer, Dornod,2021,321.0
Trailer, Dornod,2020,312.0
Trailer, Dornod,2019,766.0
Trailer, Dornod,2018,243.0
Trailer, Dornod,2017,237.0
Trailer, Dornod,2016,219.0
Trailer, Dornod,2015,202.0
Trailer, Dornod,2014,156.0
Trailer, Dornod,2013,148.0
Trailer, Dornod,2012,140.0
Trailer, Dornod,1957,
Trailer, Dornod,1956,
Trailer, Dornod,1955,
Trailer, Dornod,1954,
Trailer, Dornod,1953,
Trailer, Dornod,1952,
Trailer, Dornod,1951,
Trailer, Dornod,1950,
Trailer, Dornod,1949,
Trailer, Dornod,1948,
Trailer, Dornod,1947,
Trailer, Dornod,1946,
Trailer, Dornod,1945,
Trailer, Dornod,1944,
Trailer, Dornod,1943,
Trailer, Dornod,1942,
Trailer, Dornod,1941,
Trailer, Dornod,1940,
Trailer, Sukhbaatar,2025,1668.0
Trailer, Sukhbaatar,2024,1330.0
Trailer, Sukhbaatar,2023,904.0
Trailer, Sukhbaatar,2022,303.0
Trailer, Sukhbaatar,2021,305.0
Trailer, Sukhbaatar,2020,237.0
Trailer, Sukhbaatar,2019,1234.0
Trailer, Sukhbaatar,2018,186.0
Trailer, Sukhbaatar,2017,126.0
Trailer, Sukhbaatar,2016,102.0
